split,env,T,cap,base_seed,n_replicates,policy,name,alpha,c,K0,recommender,mean_regret,se,mean_q,mean_regret_disc,mean_regret_sel,mean_mu_star,mean_k_final,mean_search_frac,cap_hit_frac,mean_n_demoted,mean_regret_posterior_mean_shrunk,mean_regret_lcb,mean_regret_posterior_mean,mean_regret_empirical,mean_regret_oracle_prior,seconds
val,beta_good_common,100,64,5004000,500,power,power_a0.3333_c7.65377,0.3333333333333333,7.6537682222,-1,posterior_mean_shrunk,0.07742419862747192,0.0032059081572657676,0.8988680884838104,0.017205777406692505,0.06021842122077942,0.9762922871112824,36.0,0.34693877551020413,0.0,-1.0,0.07742419862747192,0.07742419862747192,0.07770720911026001,0.09035314744710922,0.07770720911026001,0.18713937501888722
val,beta_good_common,100,64,5004000,500,power,power_a0.5000_c3.77086,0.5,3.7708600737,-1,posterior_mean_shrunk,0.08118736100196838,0.0033233982263830993,0.8951049261093139,0.01596511423587799,0.0652222467660904,0.9762922871112824,38.0,0.3673469387755102,0.0,-1.0,0.08118736100196838,0.08118736100196838,0.08118736100196838,0.09599017131328583,0.08118736100196838,0.07228183397091925
val,beta_good_common,100,64,5004000,500,power,power_a0.6667_c1.65107,0.6666666666666666,1.6510733969,-1,posterior_mean_shrunk,0.08351696026325225,0.0033335185618703954,0.8927753268480301,0.017205777406692505,0.06631118285655975,0.9762922871112824,36.0,0.34693877551020413,0.0,-1.0,0.08351696026325225,0.08351696026325225,0.08351696026325225,0.10813945072889328,0.08351696026325225,0.38407837494742125
val,tail_b2.0_mu1.0_c1.0,200,64,5367000,500,power,power_a0.2500_c15.535,0.25,15.5349620122,-1,posterior_mean_shrunk,0.09528070843219758,0.004437299816338526,0.8417785212993621,0.05129895579814911,0.04398175263404846,0.9370592297315598,59.0,0.28787878787878796,0.0,-1.0,0.09528070843219758,0.095234121799469,0.09775647670030593,0.0997789078950882,0.09584645533561706,0.1276015000184998
val,tail_b2.0_mu1.0_c1.0,200,64,5367000,500,power,power_a0.3333_c9.69067,0.3333333333333333,9.6906654968,-1,posterior_mean_shrunk,0.09879585123062133,0.004512584727212269,0.8382633785009385,0.05424400150775909,0.04455184972286225,0.9370592297315598,57.0,0.2777777777777778,0.0,-1.0,0.09879585123062133,0.09799732279777527,0.09677677702903748,0.0987223961353302,0.09775094246864319,0.2329604170517996
val,tail_b2.0_mu1.0_c1.0,200,64,5367000,500,power,power_a0.5000_c6.04501,0.5,6.0450098106,-1,posterior_mean_shrunk,0.08695010113716126,0.0040701529626623045,0.8501091285943985,0.047617783784866335,0.03933231735229492,0.9370592297315598,64.0,0.31313131313131315,1.0,-1.0,0.08695010113716126,0.08695010113716126,0.08695010113716126,0.08685776472091675,0.08695010113716126,0.3778549589915201
val,tail_b2.0_mu1.0_c1.0,200,64,5367000,500,power,power_a0.6667_c3.77086,0.6666666666666666,3.7708600737,-1,posterior_mean_shrunk,0.08695010113716126,0.0040701529626623045,0.8501091285943985,0.047617783784866335,0.03933231735229492,0.9370592297315598,64.0,0.31313131313131315,1.0,-1.0,0.08695010113716126,0.08695010113716126,0.08695010113716126,0.08685776472091675,0.08695010113716126,0.41771612502634525
val,tail_b8.0_mu1.0_c1.0,200,64,5472000,500,power,power_a0.2500_c15.535,0.25,15.5349620122,-1,posterior_mean_shrunk,0.18043041436746715,0.005807151877341234,0.33689145774766804,0.08179889231920243,0.09863152204826474,0.5173218721151351,59.0,0.28787878787878796,0.0,-1.0,0.18043041436746715,0.18118897213414312,0.18218451879546047,0.18226739863678812,0.18043041436746715,0.3748634159564972
val,tail_b8.0_mu1.0_c1.0,200,64,5472000,500,power,power_a0.3333_c9.69067,0.3333333333333333,9.6906654968,-1,posterior_mean_shrunk,0.17912726559117437,0.005845198343978353,0.33819460652396083,0.08354730248451232,0.09557996310666203,0.5173218721151351,57.0,0.2777777777777778,0.0,-1.0,0.17912726559117437,0.17912726559117437,0.17946374781802296,0.17946374781802296,0.17912726559117437,0.3873476249864325
val,tail_b8.0_mu1.0_c1.0,200,64,5472000,500,power,power_a0.5000_c6.04501,0.5,6.0450098106,-1,posterior_mean_shrunk,0.1776271768063307,0.005877029858378343,0.33969469530880453,0.0761584222316742,0.10146875457465648,0.5173218721151351,64.0,0.31313131313131315,1.0,-1.0,0.1776271768063307,0.1776271768063307,0.1790960977524519,0.1790960977524519,0.1776271768063307,0.27949029207229614
