diagnostic,key,value
metadata_only,auc_fold_mean,0.635620923272518
metadata_only,bal_acc_05,0.5662836795289602
metadata_only,bal_acc_05_fold_mean,0.5676309987776593
metadata_only,tau_off,0.64
metadata_only,bal_acc_tau_off,0.5971518880952676
metadata_only,n_rows,82738.0
metadata_only,n_onehot_columns,16.0
ess,k=1|all,66826.33922664447
ess,k=1|decided,42920.26361549074
ess_frac,k=1|all,0.766814375850788
ess_frac,k=1|decided,0.6866033756537367
label_fraction,k=1|tie,0.28270298802037913
label_fraction,k=1|ambiguous,0.2221622986184422
label_fraction,k=1|ambiguous_among_decided,0.30900161571563406
label_fraction,k=1|truncated,0.0
label_fraction,k=1|demoted,0.0
label_fraction,k=1|truncated_or_demoted,0.0
label_fraction,k=1|search_preferred_among_decided,0.5714994161027659
label_n,k=1|all,87148.0
label_n,k=1|decided,62511.0
ess,k=4|all,53962.64259292093
ess,k=4|decided,44160.52877598407
ess_frac,k=4|all,0.6192068962330854
ess_frac,k=4|decided,0.5733197722325458
label_fraction,k=4|tie,0.11614724376922017
label_fraction,k=4|ambiguous,0.16684261256712718
label_fraction,k=4|ambiguous_among_decided,0.1885597071118843
label_fraction,k=4|truncated,0.022398678110800017
label_fraction,k=4|demoted,0.006219305090191398
label_fraction,k=4|truncated_or_demoted,0.028595033735713957
label_fraction,k=4|search_preferred_among_decided,0.6168826110663932
label_n,k=4|all,87148.0
label_n,k=4|decided,77026.0
ess,k=16|all,43636.7420091236
ess,k=16|decided,39447.4056289344
ess_frac,k=16|all,0.50071994777991
ess_frac,k=16|decided,0.47677494777411106
label_fraction,k=16|tie,0.050603570936797175
label_fraction,k=16|ambiguous,0.07203837150594392
label_fraction,k=16|ambiguous_among_decided,0.075745123159854
label_fraction,k=16|truncated,0.12384678936980768
label_fraction,k=16|demoted,0.03661587185018589
label_fraction,k=16|truncated_or_demoted,0.15683664570615505
label_fraction,k=16|search_preferred_among_decided,0.6315598636660301
label_n,k=16|all,87148.0
label_n,k=16|decided,82738.0
