variant,tau,env,T,split,cap,base_seed,n_replicates,fingerprint,k,tau_off,uses_log_e,heldout_T,recommender,mean_regret,se,mean_q,mean_regret_disc,mean_regret_sel,mean_mu_star,mean_k_final,mean_search_frac,cap_hit_frac,mean_n_demoted,mean_regret_posterior_mean_shrunk,mean_regret_lcb,mean_regret_posterior_mean,mean_regret_empirical,mean_regret_oracle_prior,n_decisions,n_search_decided,n_committed_steps,n_guard_vetoes,n_cap_demoted,n_nonfinite_rows,seconds
clock_quality_evidence_k16_noT1000,0.7,tail_b0.5_mu1.0_c1.0,500,val,64,5205000,500,017376ea6edd127a,16,0.65,True,False,posterior_mean_shrunk,0.005344987392425537,0.0003818988589646481,0.9946456338167191,0.003293407440185547,0.0020515799522399904,0.9999906212091446,23.888,0.04395180722891565,0.0,0.0,0.005344987392425537,0.005344987392425537,0.005344987392425537,0.006141456246376038,0.005344987392425537,16000,684,233000,0,0,0,0.4780131670413539
clock_quality_evidence_k16_noT1000,0.3,beta_mostly_mediocre,500,val,64,5040000,500,017376ea6edd127a,16,0.65,True,False,posterior_mean_shrunk,0.10785292422771454,0.0031682745263328796,0.7233704092502594,0.06052272510528565,0.0473301991224289,0.831223333477974,64.0,0.12449799196787148,1.0,435.968,0.10785292422771454,0.10785292422771454,0.10818780040740966,0.10846248209476471,0.10785292422771454,16000,15999,233000,0,217984,0,0.6035259170457721
clock_quality_evidence_k16_noT1000,0.4,beta_mostly_mediocre,500,val,64,5040000,500,017376ea6edd127a,16,0.65,True,False,posterior_mean_shrunk,0.10785292422771454,0.0031682745263328796,0.7233704092502594,0.06052272510528565,0.0473301991224289,0.831223333477974,64.0,0.12449799196787148,1.0,398.8,0.10785292422771454,0.10785292422771454,0.10818780040740966,0.10846248209476471,0.10785292422771454,16000,14603,233000,0,199400,0,0.5782420840114355
clock_quality_evidence_k16_noT1000,0.5,beta_mostly_mediocre,500,val,64,5040000,500,017376ea6edd127a,16,0.65,True,False,posterior_mean_shrunk,0.10785292422771454,0.0031682745263328796,0.7233704092502594,0.06052272510528565,0.0473301991224289,0.831223333477974,64.0,0.12449799196787148,1.0,255.796,0.10785292422771454,0.10785292422771454,0.10818780040740966,0.10846248209476471,0.10785292422771454,16000,9946,233000,0,127898,0,0.6080204170430079
clock_quality_evidence_k16_noT1000,0.6,beta_mostly_mediocre,500,val,64,5040000,500,017376ea6edd127a,16,0.65,True,False,posterior_mean_shrunk,0.10796455669403077,0.003180157654509565,0.7232587767839431,0.06063184916973114,0.04733270752429962,0.831223333477974,63.608,0.12371084337349397,0.972,71.484,0.10796455669403077,0.10796455669403077,0.10829943287372588,0.10857411456108093,0.10796455669403077,16000,4160,233000,0,35742,0,0.6734447079943493
clock_quality_evidence_k16_noT1000,0.7,beta_mostly_mediocre,500,val,64,5040000,500,017376ea6edd127a,16,0.65,True,False,posterior_mean_shrunk,0.11104146754741669,0.0032448730089903693,0.7201818659305572,0.0726749917268753,0.03836647582054138,0.831223333477974,47.104,0.090570281124498,0.2,5.168,0.11104146754741669,0.11109185469150543,0.11102822995185851,0.11133616435527802,0.11109185469150543,16000,1571,233000,0,2584,0,0.6384948330232874
clock_quality_evidence_k16_noT1000,0.3,tail_b2.0_mu1.0_c1.0,500,val,64,5370000,500,017376ea6edd127a,16,0.65,True,False,posterior_mean_shrunk,0.0757882118821144,0.002964911015576715,0.8854264449477196,0.06491722154617309,0.010870990335941315,0.961214656829834,64.0,0.12449799196787148,1.0,436.0,0.0757882118821144,0.0757882118821144,0.07585391706228256,0.07585391706228256,0.07575859063863755,16000,16000,233000,0,218000,0,0.8665392500115559
clock_quality_evidence_k16_noT1000,0.4,tail_b2.0_mu1.0_c1.0,500,val,64,5370000,500,017376ea6edd127a,16,0.65,True,False,posterior_mean_shrunk,0.0757882118821144,0.002964911015576715,0.8854264449477196,0.06491722154617309,0.010870990335941315,0.961214656829834,64.0,0.12449799196787148,1.0,425.608,0.0757882118821144,0.0757882118821144,0.07585391706228256,0.07585391706228256,0.07575859063863755,16000,15537,233000,0,212804,0,0.8417186670703813
clock_quality_evidence_k16_noT1000,0.5,tail_b2.0_mu1.0_c1.0,500,val,64,5370000,500,017376ea6edd127a,16,0.65,True,False,posterior_mean_shrunk,0.0757882118821144,0.002964911015576715,0.8854264449477196,0.06491722154617309,0.010870990335941315,0.961214656829834,64.0,0.12449799196787148,1.0,328.56,0.0757882118821144,0.0757882118821144,0.07585391706228256,0.07585391706228256,0.07575859063863755,16000,12268,233000,0,164280,0,0.8692938340827823
clock_quality_evidence_k16_noT1000,0.6,tail_b2.0_mu1.0_c1.0,500,val,64,5370000,500,017376ea6edd127a,16,0.65,True,False,posterior_mean_shrunk,0.0757882118821144,0.002964911015576715,0.8854264449477196,0.06497357654571533,0.010814635336399078,0.961214656829834,63.86,0.1242168674698795,0.99,156.408,0.0757882118821144,0.0757882118821144,0.07585391706228256,0.07585391706228256,0.07575859063863755,16000,6827,233000,0,78204,0,0.8822082079714164
clock_quality_evidence_k16_noT1000,0.7,tail_b2.0_mu1.0_c1.0,500,val,64,5370000,500,017376ea6edd127a,16,0.65,True,False,posterior_mean_shrunk,0.08088578104972839,0.0030757917917007224,0.8803288757801055,0.07159235143661499,0.009293429613113403,0.961214656829834,55.652,0.10773493975903616,0.55,25.996,0.08088578104972839,0.08088578104972839,0.08095148622989655,0.08095148622989655,0.08085615980625152,16000,2489,233000,0,12998,0,0.8483900829451159
clock_quality_evidence_k16_noT1000,0.3,tail_b1.0_mu0.9_c2.0,500,val,64,5280000,500,017376ea6edd127a,16,0.65,True,False,posterior_mean_shrunk,0.033184857606887816,0.0014776741017765744,0.8658514132499695,0.006895366787910462,0.026289490818977357,0.8990362708568573,64.0,0.12449799196787148,1.0,417.728,0.033184857606887816,0.033184857606887816,0.03340697836875915,0.0335212459564209,0.033184857606887816,16000,15191,233000,0,208864,0,0.5288555830484256
clock_quality_evidence_k16_noT1000,0.4,tail_b1.0_mu0.9_c2.0,500,val,64,5280000,500,017376ea6edd127a,16,0.65,True,False,posterior_mean_shrunk,0.033184857606887816,0.0014776741017765744,0.8658514132499695,0.006895366787910462,0.026289490818977357,0.8990362708568573,64.0,0.12449799196787148,1.0,275.964,0.033184857606887816,0.033184857606887816,0.03340697836875915,0.0335212459564209,0.033184857606887816,16000,10564,233000,0,137982,0,0.5009504159679636
