policy,replicate,budget,timestep,best_arm_pull_share
spruce,0,160,144,0.05555555555555555
spruce,0,160,145,0.05517241379310345
spruce,0,160,146,0.0547945205479452
spruce,0,160,147,0.05442176870748299
spruce,0,160,148,0.05405405405405406
spruce,0,160,149,0.053691275167785234
spruce,0,160,150,0.05333333333333334
spruce,0,160,151,0.052980132450331126
spruce,0,160,152,0.05263157894736842
spruce,0,160,153,0.05228758169934641
spruce,0,160,154,0.05194805194805195
spruce,0,160,155,0.05161290322580645
spruce,0,160,156,0.05128205128205128
spruce,0,160,157,0.050955414012738856
spruce,0,160,158,0.05063291139240506
spruce,0,160,159,0.050314465408805034
spruce,0,160,160,0.05
uniform,1,160,1,0.0
uniform,1,160,2,0.0
uniform,1,160,3,0.0
uniform,1,160,4,0.0
uniform,1,160,5,0.0
uniform,1,160,6,0.0
uniform,1,160,7,0.0
uniform,1,160,8,0.0
uniform,1,160,9,0.0
uniform,1,160,10,0.0
uniform,1,160,11,0.0
uniform,1,160,12,0.0
uniform,1,160,13,0.0
uniform,1,160,14,0.0
uniform,1,160,15,0.0
uniform,1,160,16,0.0
uniform,1,160,17,0.0
uniform,1,160,18,0.05555555555555555
uniform,1,160,19,0.05263157894736842
uniform,1,160,20,0.05
uniform,1,160,21,0.047619047619047616
uniform,1,160,22,0.045454545454545456
uniform,1,160,23,0.043478260869565216
uniform,1,160,24,0.041666666666666664
uniform,1,160,25,0.04
uniform,1,160,26,0.038461538461538464
uniform,1,160,27,0.037037037037037035
uniform,1,160,28,0.03571428571428571
uniform,1,160,29,0.034482758620689655
uniform,1,160,30,0.03333333333333333
uniform,1,160,31,0.03225806451612903
uniform,1,160,32,0.03125
uniform,1,160,33,0.030303030303030304
uniform,1,160,34,0.029411764705882353
uniform,1,160,35,0.02857142857142857
uniform,1,160,36,0.05555555555555555
uniform,1,160,37,0.05405405405405406
uniform,1,160,38,0.05263157894736842
uniform,1,160,39,0.05128205128205128
uniform,1,160,40,0.05
uniform,1,160,41,0.04878048780487805
uniform,1,160,42,0.047619047619047616
uniform,1,160,43,0.046511627906976744
uniform,1,160,44,0.045454545454545456
uniform,1,160,45,0.044444444444444446
uniform,1,160,46,0.043478260869565216
uniform,1,160,47,0.0425531914893617
uniform,1,160,48,0.041666666666666664
uniform,1,160,49,0.04081632653061224
uniform,1,160,50,0.04
uniform,1,160,51,0.0392156862745098
uniform,1,160,52,0.038461538461538464
uniform,1,160,53,0.03773584905660377
uniform,1,160,54,0.05555555555555555
uniform,1,160,55,0.05454545454545454
uniform,1,160,56,0.05357142857142857
uniform,1,160,57,0.05263157894736842
uniform,1,160,58,0.05172413793103448
uniform,1,160,59,0.05084745762711865
uniform,1,160,60,0.05
uniform,1,160,61,0.04918032786885246
uniform,1,160,62,0.04838709677419355
uniform,1,160,63,0.047619047619047616
uniform,1,160,64,0.046875
