policy,replicate,budget,timestep,entropy,normalized_entropy
uniform,1,160,8,2.0794415416798357,0.7194373997043944
uniform,1,160,9,2.1972245773362196,0.7601875334318686
uniform,1,160,10,2.3025850929940455,0.7966397701969121
uniform,1,160,11,2.3978952727983707,0.8296148293891938
uniform,1,160,12,2.4849066497880004,0.8597186998521973
uniform,1,160,13,2.564949357461537,0.8874115761940966
uniform,1,160,14,2.6390573296152584,0.9130511749589498
uniform,1,160,15,2.70805020110221,0.9369210703447151
uniform,1,160,16,2.772588722239781,0.9592498662725258
uniform,1,160,17,2.833213344056216,0.9802245459658266
uniform,1,160,18,2.8903717578961645,1.0
uniform,1,160,19,2.8714761180548676,0.9934625572680482
uniform,1,160,20,2.8571028374420018,0.9884897434514174
uniform,1,160,21,2.8464803861348673,0.9848146275158581
uniform,1,160,22,2.8389889331546994,0.9822227626598229
uniform,1,160,23,2.8341258765552606,0.9805402605435627
uniform,1,160,24,2.831480240067973,0.979624933136263
uniform,1,160,25,2.8307134037546313,0.9793596259794078
uniform,1,160,26,2.8315444269076697,0.9796471402587624
uniform,1,160,27,2.833738745631032,0.9804063224357151
uniform,1,160,28,2.837099381203814,0.9815690225498446
uniform,1,160,29,2.8414600378375496,0.9830777062068249
uniform,1,160,30,2.846679637214199,0.9848835636583414
uniform,1,160,31,2.852637956273579,0.9869450005801154
uniform,1,160,32,2.859232119809774,0.9892264245935422
uniform,1,160,33,2.866373760957439,0.9916972628613722
uniform,1,160,34,2.873986707618566,0.994331161646305
uniform,1,160,35,2.882005086088324,0.9971053302105573
uniform,1,160,36,2.8903717578961645,1.0
