policy,replicate,budget,timestep,entropy,normalized_entropy
spruce_fast,0,160,122,2.0570984400679397,0.8020035304337534
spruce_fast,0,160,123,2.053798316907792,0.800716907307824
spruce_fast,0,160,124,2.0502808686332363,0.799345555368916
spruce_fast,0,160,125,2.046564130971447,0.7978965062284419
spruce_fast,0,160,126,2.0516931001741443,0.799896143838353
spruce_fast,0,160,127,2.056803791052833,0.8018886552553216
spruce_fast,0,160,128,2.050507142826276,0.7994337731703247
spruce_fast,0,160,129,2.044159142332881,0.796958870313109
spruce_fast,0,160,130,2.0377659817542932,0.7944663608372435
spruce_fast,0,160,131,2.031333392692229,0.7919584793294268
spruce_fast,0,160,132,2.024866684200098,0.7894372956369228
spruce_fast,0,160,133,2.0183707770938377,0.7869047282443683
spruce_fast,0,160,134,2.011850234973788,0.7843625563683111
spruce_fast,0,160,135,2.005309292330912,0.7818124309150158
spruce_fast,0,160,136,1.9987518800612303,0.779255884427809
spruce_fast,0,160,137,1.9921816486703896,0.776694340133873
spruce_fast,0,160,138,1.9856019894145662,0.774129120186476
spruce_fast,0,160,139,1.9790160535933528,0.7715614531867144
spruce_fast,0,160,140,1.9724267701840752,0.7689924810586258
spruce_fast,0,160,141,1.9658368619844189,0.7664232653427342
spruce_fast,0,160,142,1.9592488604107536,0.7638547929654919
spruce_fast,0,160,143,1.9526651190826654,0.7612879815354978
