test,horizon,cap,reference_cap,policy,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method
capp,1000,96,64,always_search,-0.011205288658849896,-0.012053070424636826,-0.010370863219257447,0.0004318035291322271,0.5445625000000001,8,16000,8,-0.021686320776546267,-0.0007242565411535225,0.0044324302732818835,0.039346407310543105,0.03125,-0.026251886523947436,-0.0025169849417791823,-0.01972697734709363,-0.003605954931955785,,,False,env_mean_t
capp,1000,128,64,always_search,-0.016386434141546488,-0.01744199826924596,-0.015344719126494603,0.0005383649205192133,0.56403125,8,16000,8,-0.033378118051158895,0.0006052497680659151,0.007185786028442784,0.05660325431457164,0.046875,-0.04080662837942957,-0.003181686520093421,-0.030497358926245936,-0.004515159156732267,,,False,env_mean_t
capp,1000,192,64,always_search,-0.01896123332437128,-0.02019000874210615,-0.017720121569407637,0.0006325441353582475,0.56109375,8,16000,8,-0.042987451916796655,0.005064985268054094,0.01016069194767058,0.10426783456458827,0.109375,-0.0584331842032285,-0.0010885410449324243,-0.03905770064238459,-0.002582217460498214,,,False,env_mean_t
capp,1000,256,64,always_search,-0.01927877246029675,-0.020652351964020634,-0.017931894589960577,0.0006960394630776431,0.560125,8,16000,8,-0.04765301273475567,0.009095467814162168,0.011999471059871925,0.15216964492932603,0.1171875,-0.0944239441381497,0.0012539204119756363,-0.04402249865140766,-0.0007494814201258235,,,False,env_mean_t
capp,1000,384,64,always_search,-0.015777147782500833,-0.01727855906751938,-0.014279167119623163,0.0007625365643026406,0.53265625,8,16000,8,-0.044742344906724074,0.013188049341722411,0.012249386812603574,0.23868775784689436,0.34375,-0.07356015682746904,0.005295358419460834,-0.03927174620497971,0.004676078189420506,,,False,env_mean_t
capp,1000,512,64,always_search,-0.006063052641460671,-0.007637850675021764,-0.004435633366799447,0.000823299758315267,0.49240625000000005,8,16000,8,-0.042935876258753836,0.030809770975832495,0.015593523407558749,0.7089664820487593,0.78125,-0.10612247316071892,0.019902351177814276,-0.03774312435858883,0.018122662035113885,,,False,env_mean_t
capp,1000,1000,64,always_search,0.24874827083313356,0.24592066495159526,0.2515242181125807,0.0014191042569385581,0.0595,8,16000,8,0.18619618459821796,0.31130035706804915,0.026453287955911477,3.204731213922811e-05,0.0078125,0.20262924401603827,0.5295882259936378,0.2064171271307132,0.3011160675653769,,,False,env_mean_t
capp,1000,32,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,1000,48,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,1000,96,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,1000,128,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,1000,192,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,1000,256,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,1000,384,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,1000,512,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,1000,1000,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,1000,32,64,fixed_K_star,0.028415711213368923,0.02737089065235341,0.029481355175864882,0.0005428962117826333,0.38349999999999995,8,16000,8,0.007178066794209088,0.04965335563252876,0.008981403453362367,0.015843291983945348,0.0078125,0.009352028742087817,0.05419581559802028,0.013034505357104357,0.045492867479252165,,,False,env_mean_t
capp,1000,48,64,fixed_K_star,0.010873250707518309,0.01013240921063116,0.011616531756310724,0.0003780840840115984,0.45128125,8,16000,8,0.0022212605614387836,0.019525240853597834,0.0036589281109891533,0.020757531765027985,0.0078125,0.0028441297865341043,0.022009911752518374,0.0046274698930792516,0.01800364544588374,,,False,env_mean_t
capp,1000,96,64,fixed_K_star,-0.011205288658849896,-0.01206373474963475,-0.010384572810307144,0.0004340832541608107,0.5445625000000001,8,16000,8,-0.021686320776546267,-0.0007242565411535225,0.0044324302732818835,0.039346407310543105,0.03125,-0.026176686602613873,-0.0023924456789199532,-0.019732380392169575,-0.0035867165199481034,,,False,env_mean_t
capp,1000,128,64,fixed_K_star,-0.016386434141546488,-0.017437983389082364,-0.01534117673810106,0.0005317059833704805,0.56403125,8,16000,8,-0.033378118051158895,0.0006052497680659151,0.007185786028442784,0.05660325431457164,0.046875,-0.040901351980307865,-0.0026985823947456283,-0.03078695582419167,-0.004498093574563973,,,False,env_mean_t
capp,1000,192,64,fixed_K_star,-0.01896123332437128,-0.02021538939535385,-0.017732464367640206,0.00063626094712205,0.56109375,8,16000,8,-0.042987451916796655,0.005064985268054094,0.01016069194767058,0.10426783456458827,0.109375,-0.05700925347444085,-0.000404187948122265,-0.03981545087695122,-0.0025822174604982137,,,False,env_mean_t
capp,1000,256,64,fixed_K_star,-0.01896123332437128,-0.020219253880891484,-0.017711672807566355,0.0006394787171900661,0.56109375,8,16000,8,-0.042987451916796655,0.005064985268054094,0.01016069194767058,0.10426783456458827,0.109375,-0.058445225521585153,-0.0008266577024886902,-0.03923033202718944,-0.0024610108491033315,,,False,env_mean_t
capp,1000,384,64,fixed_K_star,-0.01896123332437128,-0.020190938360919244,-0.017713342935033145,0.0006327369199764913,0.56109375,8,16000,8,-0.042987451916796655,0.005064985268054094,0.01016069194767058,0.10426783456458827,0.109375,-0.06042003113053406,-0.00020765036490460673,-0.039706333757378164,-0.0022818906297907516,,,False,env_mean_t
capp,1000,512,64,fixed_K_star,-0.01896123332437128,-0.020196787078189664,-0.0177078711746959,0.0006375014979254072,0.56109375,8,16000,8,-0.042987451916796655,0.005064985268054094,0.01016069194767058,0.10426783456458827,0.109375,-0.06134599704435344,-0.0004060702885705994,-0.039069488591514524,-0.0021083881165832284,,,False,env_mean_t
