test,cell,policy,env_id,family,horizon,cap,n_on,n_corpus,corpus_scope,n_features,n_features_nonclock,knn_applicable,ood_frac,knn_dist_median,knn_threshold,n_features_standardizable,domain_auc,ood_frac_all,knn_threshold_all,n_features_standardizable_all,domain_auc_all,clock_confounded,domain_auc_CLOCK,domain_auc_QUALITY,domain_auc_EVIDENCE,domain_auc_HISTORY,max_frac_outside,mean_frac_outside,mean_abs_std_shift,max_abs_std_shift,max_ks,worst_feature_by_ks,corpus_score_kind
A,beta_mostly_mediocre_T50_cap64,phi_k16,beta_mostly_mediocre,A,50,64,3072,19968,same_horizon,62,51,True,0.043294270833333336,1.6719596595234034,2.6274124730827833,51,0.9841044514973959,0.15787760416666666,2.8308565869169766,61,0.9924408365885417,True,0.9466295166015626,0.9598821207682293,0.9720236409505209,,0.08333333333333333,0.008012012768817203,0.5786577627669354,2.0992194378957874,0.7689302884615384,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T50_cap64,phi_k16_all71,beta_mostly_mediocre,A,50,64,3072,19968,same_horizon,71,60,True,0.5218098958333334,3.2846459088807007,3.2524087062786746,60,0.9992197672526041,0.6077473958333334,3.436161493375552,70,0.9993596598307293,True,0.9447710367838542,0.9578784179687502,0.9710279541015624,0.9501546223958334,0.17838541666666666,0.009852736208920188,0.5977393943447089,2.105844339946678,0.7689302884615384,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T50_cap64,phi_k16_clock,beta_mostly_mediocre,A,50,64,3072,19968,same_horizon,11,0,False,,,,0,,0.9583333333333334,0.0,10,0.9986982828776043,True,0.9986982828776043,,,,0.6666666666666666,0.22348484848484845,1.386695792138819,3.4762486686140606,0.9411558493589743,f_K_over_t,oof
A,beta_mostly_mediocre_T50_cap64,phi_k16_cs,beta_mostly_mediocre,A,50,64,3072,19968,same_horizon,61,50,True,0.042643229166666664,1.6354116101815452,2.56011598710223,50,0.9827248942057291,0.16373697916666666,2.7632949745730824,60,0.9918699137369791,True,0.9452419840494791,0.9580433756510416,0.9695038655598959,,0.08333333333333333,0.008143357240437158,0.587442090761347,2.0992194378957874,0.7689302884615384,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T50_cap64,phi_k16_quality,beta_mostly_mediocre,A,50,64,3072,19968,same_horizon,35,24,True,0.09928385416666667,1.034757504446631,1.6598478227500237,24,0.958813232421875,0.2613932291666667,1.9062891189862259,34,0.98353955078125,True,0.9475681966145834,0.958813232421875,,,0.08333333333333333,0.01292782738095238,0.6580462322014521,2.0678942837539216,0.7689302884615384,f_K_over_sqrt_t,oof
A,beta_mostly_mediocre_T50_cap64,rule_reservoir,beta_mostly_mediocre,A,50,64,3072,19968,same_horizon,7,5,True,0.06380208333333333,0.20245932632383082,0.42361147339938315,5,0.8792415364583333,0.4443359375,0.6493274138925605,7,0.8986481526692708,True,0.8896857503255207,0.8351321614583332,0.7157969156901042,,0.2900390625,0.05361793154761905,0.6039353845323265,1.4926664481232121,0.6068960336538461,est_beta_a,none
A,beta_rare_excellent_T1000_cap64,phi_k16,beta_rare_excellent,A,1000,64,3072,13322,same_horizon,62,51,True,0.20247395833333334,2.4404687715541353,3.1988494333513655,51,0.9994171549479166,0.3203125,3.4679288116185982,61,0.9995163574218752,True,0.997714599609375,0.9961427408854167,0.999050537109375,,0.9583333333333334,0.09856980846774194,0.9259386170549883,4.893754983315829,0.9583333333333334,f_K,oof
A,beta_rare_excellent_T1000_cap64,phi_k16_all71,beta_rare_excellent,A,1000,64,3072,13322,same_horizon,71,60,True,0.6305338541666666,4.5051028461058475,4.173685965763104,60,0.9998025716145834,0.6985677083333334,4.394006347052044,70,0.9999379069010417,True,0.9973387044270833,0.9961114095052083,0.9989739583333334,0.90246875,0.9583333333333334,0.09027472124413148,0.8528429593429347,4.893754983315829,0.9583333333333334,f_K,oof
A,beta_rare_excellent_T1000_cap64,phi_k16_clock,beta_rare_excellent,A,1000,64,3072,13322,same_horizon,11,0,False,,,,0,,0.875,0.18693863401041338,10,0.9969388020833333,True,0.9969388020833333,,,,0.9583333333333334,0.29924242424242425,1.1925840480329635,2.6860350790865604,0.9583333333333334,f_K,oof
A,beta_rare_excellent_T1000_cap64,phi_k16_cs,beta_rare_excellent,A,1000,64,3072,13322,same_horizon,61,50,True,0.21484375,2.365392768432632,3.086063773085247,50,0.9996313476562501,0.326171875,3.3589394963387127,60,0.999836669921875,True,0.9973353678385416,0.9951843261718749,0.9990748697916666,,0.9583333333333334,0.10017503415300547,0.931550893746452,4.893754983315829,0.9583333333333334,f_K,oof
A,beta_rare_excellent_T1000_cap64,phi_k16_quality,beta_rare_excellent,A,1000,64,3072,13322,same_horizon,35,24,True,0.19596354166666666,1.0955718021134424,1.9837668769561756,24,0.9949746093749999,0.3802083333333333,2.272278730053479,34,0.9995174153645834,True,0.997074951171875,0.9949746093749999,,,0.9583333333333334,0.13686755952380955,1.0877621326304148,4.893754983315829,0.9583333333333334,f_K,oof
A,beta_rare_excellent_T1000_cap64,rule_reservoir,beta_rare_excellent,A,1000,64,3072,13322,same_horizon,7,5,True,0.5263671875,0.549633462074081,0.5336378750776066,5,0.9866848144531248,0.5403645833333334,0.7694189887507719,7,0.9880320638020834,True,0.9460288492838541,0.9862384440104168,0.7318052978515626,,0.4847005208333333,0.1415550595238095,1.5147442411522383,4.549319034496457,0.901942481187134,est_beta_b,none
A,beta_rare_excellent_T100_cap64,phi_k16,beta_rare_excellent,A,100,64,3072,19968,same_horizon,62,51,True,0.4938151041666667,2.664660694333298,2.690932688241468,51,0.9979316813151041,0.6552734375,2.895184222421924,61,0.9982559000651041,True,0.99263330078125,0.9972156982421876,0.9961654459635416,,0.5602213541666666,0.06860089045698924,0.958087461945003,4.745026423207061,0.8471053685897436,f_K_over_t,oof
A,beta_rare_excellent_T100_cap64,phi_k16_all71,beta_rare_excellent,A,100,64,3072,19968,same_horizon,71,60,True,0.7835286458333334,4.383414120349611,3.3671555756726588,60,0.9992809244791667,0.8053385416666666,3.5399113159539133,70,0.9994774576822917,True,0.9935132649739583,0.9978316243489582,0.9971740315755209,0.97299267578125,0.5458984375,0.07333388350938966,1.0026300274425304,4.687711920591013,0.8568709935897436,f_K_over_t,oof
