policy,reference,level,test,family,horizon,cell,env_id,cap,source_test,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,regret,regret_ref,k_final,k_final_deployed,k_final_ref,search_frac,search_frac_ref
phi_k1,always_search,cell,C,C,100,mix_many_mediocre_rare_excellent_T100_cap40,mix_many_mediocre_rare_excellent,40,capmatch,-0.004640339747071266,-0.0074839004505425685,-0.0018570849884301435,0.0014310467587944566,0.51175,1,2000,1,,,,,,,,,,,,False,none,0.1385687282681465,0.1432090680152178,37.75,40.008,40.0,0.36479591836734687,0.38775510204081615
phi_k1,always_search,cell,C,C,200,mix_many_mediocre_rare_excellent_T200_cap64,mix_many_mediocre_rare_excellent,64,C,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.09547682324051857,0.09547682324051857,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
phi_k1,always_search,cell,C,C,50,mix_many_mediocre_rare_excellent_T50_cap20,mix_many_mediocre_rare_excellent,20,capmatch,-0.0019838566929101945,-0.0052484675806015735,0.0013515561822801813,0.0016858220599845083,0.504,1,2000,1,,,,,,,,,,,,False,none,0.1626042568385601,0.1645881135314703,18.8815,19.8405,20.0,0.35169791666666667,0.375
phi_k1,always_search,pooled,A,all,all,,all,matched,,-0.0003688188115696296,-0.0006637373729852849,-8.010001472389373e-05,0.00014937133458993798,0.5011875,24,48000,8,-0.0012565651992213923,0.0005189275760821329,0.0003754280990114124,0.35863256875024824,0.421875,-0.002214908764343089,0.00028311707838783067,-0.0011175548674867365,0.00023511348431056825,,,False,env_mean_t,0.11633696942891342,0.11670578824048304,43.84708333333333,44.63027083333333,44.583333333333336,0.39401669624604896,0.40485048185941047
phi_k1,always_search,horizon,A,all,50,,all,matched,,-0.00023975779337888521,-0.0009690522625804532,0.0005004923823871649,0.00037271972470493564,0.5009375,8,16000,8,-0.0017340451580593209,0.0012545295713015507,0.0006319343818257386,0.7156360199219551,0.8125,-0.0026139031498206297,0.0008202135958103423,-0.001509272337678703,0.0007598918397004576,,,False,env_mean_t,0.12687781143944993,0.12711756923282883,22.6111875,23.796375,23.625,0.42939973958333333,0.45052083333333326
phi_k1,always_search,horizon,A,all,100,,all,matched,,-0.0008636442944407463,-0.001365322251571342,-0.00036488576116971706,0.00025187078949510467,0.50246875,8,16000,8,-0.0021846918127919864,0.00045740322391049355,0.0005586712212147013,0.16604995037711118,0.21875,-0.004388929054592294,0.00018211927395323933,-0.0019935364592820405,6.074056215584278e-05,,,False,env_mean_t,0.11588189119903838,0.1167455354934791,45.2128125,46.282,46.25,0.4409470663265307,0.451530612244898
phi_k1,always_search,horizon,A,all,200,,all,matched,,-3.054346889257431e-06,-4.662296529859304e-05,3.940587071701884e-05,2.2095551363801435e-05,0.50015625,8,16000,8,-7.949459185587013e-06,1.84076540707215e-06,2.070143826458808e-06,0.1836033927640471,0.5,-6.376361744620528e-06,5.152860808754681e-07,-6.817806512117386e-06,0.0,,,False,env_mean_t,0.10625120564825193,0.10625425999514118,63.71725,63.8124375,63.875,0.31170328282828286,0.3125
phi_k1,always_search,pooled,C,all,all,,all,matched,,-0.0018551215562555524,-0.002618491544947028,-0.0010912029435651174,0.00039058256555734113,0.5030555555555556,9,18000,3,,,,,,,,,,-0.002330893854300181,-0.0010264053344726562,True,range,0.11017749937954877,0.11203262093580434,40.643055555555556,41.891777777777776,41.77777777777778,0.3489437852161067,0.36434498041640895
phi_k1,always_search,horizon,C,all,50,,all,matched,,-0.002516287018855413,-0.004266594031949837,-0.0007706624325364831,0.0008821904987751261,0.5035833333333334,3,6000,3,,,,,,,,,,-0.003385538384318352,-0.0019838566929101945,True,range,0.14806835805873078,0.15058464507758618,19.254500000000004,20.491333333333333,20.333333333333332,0.35946875,0.3819444444444444
phi_k1,always_search,horizon,C,all,100,,all,matched,,-0.003049077649911245,-0.004533862685039639,-0.001617900124937296,0.0007460126291674076,0.5055833333333334,3,6000,3,,,,,,,,,,-0.004640339747071266,-0.0008997500240802765,True,range,0.10867561547209818,0.11172469312200944,38.67466666666667,41.184,41.0,0.3742312925170068,0.3979591836734693
