level,split,env_id,horizon,cap,base_seed,alpha,c,b,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,100,64,5004000,0.75,1.0,4.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,1.0,8.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,2.0,1.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,2.0,2.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,2.0,4.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,2.0,8.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,3.0,0.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,3.0,1.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,3.0,2.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,3.0,4.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,3.0,8.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,4.0,0.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,4.0,1.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,4.0,2.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,4.0,4.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,6.0,0.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,4.0,8.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,6.0,1.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,6.0,2.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,6.0,4.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.75,6.0,8.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,200,64,5007000,0.5,1.0,0.0,1,2000,0.06551402163505554,0.0011793726506563703,15.0,0.06565656565656565,False
env,val,beta_good_common,200,64,5007000,0.5,1.0,1.0,1,2000,0.0539539922773838,0.0010748176920073627,28.0,0.1313131313131313,False
env,val,beta_good_common,200,64,5007000,0.5,2.0,0.0,1,2000,0.05340573778748512,0.0010639410269102114,29.0,0.1363636363636363,False
env,val,beta_good_common,200,64,5007000,0.5,1.0,2.0,1,2000,0.054482570707798,0.0011167655727263243,42.0,0.20202020202020202,False
env,val,beta_good_common,200,64,5007000,0.5,1.0,4.0,1,2000,0.0588050696849823,0.0011977515530434556,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,1.0,8.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,2.0,1.0,1,2000,0.057494681656360624,0.0011790663941334597,57.0,0.2777777777777778,False
env,val,beta_good_common,200,64,5007000,0.5,3.0,0.0,1,2000,0.05491115060448647,0.001124256848571447,43.0,0.20707070707070716,False
env,val,beta_good_common,200,64,5007000,0.5,2.0,2.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,2.0,4.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,2.0,8.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,3.0,1.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,3.0,2.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,3.0,4.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,4.0,0.0,1,2000,0.057494681656360624,0.0011790663941334597,57.0,0.2777777777777778,False
env,val,beta_good_common,200,64,5007000,0.5,3.0,8.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,4.0,1.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,6.0,0.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,4.0,2.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,4.0,4.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,4.0,8.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,6.0,1.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,6.0,2.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,6.0,4.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.5,6.0,8.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,1.0,0.0,1,2000,0.056923432558774946,0.0011870608867809247,54.0,0.2626262626262626,False
env,val,beta_good_common,200,64,5007000,0.75,1.0,1.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,1.0,2.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,2.0,0.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,1.0,8.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,1.0,4.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,2.0,1.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,2.0,2.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,2.0,4.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,2.0,8.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,3.0,0.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,3.0,1.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,3.0,2.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,3.0,4.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_rare_excellent,50,64,5046000,0.5,1.0,0.0,1,2000,0.18272383782616816,0.0028035694001575053,8.0,0.125,False
env,val,beta_good_common,200,64,5007000,0.75,3.0,8.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.75,4.0,0.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_rare_excellent,50,64,5046000,0.5,1.0,1.0,1,2000,0.17012539740093052,0.0027628652375675344,14.0,0.25,False
env,val,beta_rare_excellent,50,64,5046000,0.5,1.0,2.0,1,2000,0.16822969928802922,0.0027249614845551444,21.0,0.39583333333333326,False
env,val,beta_good_common,200,64,5007000,0.75,4.0,1.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_rare_excellent,50,64,5046000,0.5,1.0,4.0,1,2000,0.16265450218715705,0.0027206449971924236,34.9375,0.6861979166666666,False
