env_id,family,horizon,rule,K,regret,regret_se,k_final,alpha,c,b,beta,is_mixture
tail_b0.5_mu0.8_c2.0,tail,200,level_star,,0.024666268050670622,0.001036280642576108,38.751,0.5,3.0,2.0,0.5,False
tail_b0.5_mu0.8_c2.0,tail,200,p3_star,,0.03172778934240341,0.0012789796335857758,76.0,0.3333333333333333,12.9269291522,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,200,oracle_beta_c2.0,12.0,0.022469802796840667,0.0009297450283947664,12.0,,,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,200,oracle_beta_c3.0,18.0,0.022718363404273988,0.0009554235054248479,18.0,,,,0.5,False
tail_b0.5_mu0.8_c1.0,tail,1000,oracle_beta_c2.0,20.0,0.0117954940199852,0.00046101338639626364,20.0,,,,0.5,False
tail_b0.5_mu0.8_c1.0,tail,1000,oracle_beta_c3.0,30.0,0.010875715136528016,0.0004359834927558187,30.0,,,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,200,ceiling,24.0,0.02273250198364258,0.0009582851572420302,24.0,,,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,200,pooled_K,48.0,0.02270862913131714,0.00101286782673057,48.0,,,,0.5,False
beta_uniform,beta,1000,level_star,,0.009832718133926392,0.0003941801741078279,128.848,0.5,4.0,2.0,1.0,False
beta_uniform,beta,1000,p3_star,,0.009496504068374633,0.00037364206909659085,240.0,0.5,7.5846201147,,1.0,False
tail_b0.5_mu0.8_c1.0,tail,1000,ceiling,24.0,0.011470004022121429,0.00045118977390942906,24.0,,,,0.5,False
tail_b0.5_mu0.8_c1.0,tail,1000,pooled_K,192.0,0.015786621868610382,0.0006517727365103057,192.0,,,,0.5,False
beta_mostly_mediocre,beta,1000,oracle_beta_c2.0,928.0,0.20608255741000175,0.00328337247895802,928.0,,,,8.0,False
beta_mostly_mediocre,beta,1000,oracle_beta_c3.0,1000.0,0.32380772624909876,0.0038122117583936446,1000.0,,,,8.0,False
tail_b0.5_mu0.9_c1.0,tail,200,oracle_beta_c0.5,3.0,0.10700687612220645,0.004407718387400965,3.0,,,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,200,oracle_beta_c0.75,4.0,0.07652315196394921,0.0034513455627249666,4.0,,,,0.5,False
beta_skewed,beta,1000,level_star,,0.10550122107565403,0.003102421550598994,201.005,0.5,4.0,2.0,3.0,False
beta_skewed,beta,1000,p3_star,,0.09712173694372177,0.0029195810358879676,240.0,0.5,7.5846201147,,3.0,False
tail_b0.5_mu0.9_c1.0,tail,200,oracle_beta_c1.0,6.0,0.0447463159263134,0.002030993877545735,6.0,,,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,200,oracle_beta_c1.5,9.0,0.032383613497018814,0.0014835443201454365,9.0,,,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,1000,oracle_beta_c0.5,5.0,0.016882255136966704,0.0007196414551704325,5.0,,,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,1000,oracle_beta_c0.75,7.0,0.01255902886390686,0.0005105003493002867,7.0,,,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,200,oracle_beta_c2.0,12.0,0.024804791271686555,0.0010798388280214874,12.0,,,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,200,oracle_beta_c3.0,18.0,0.022273503959178924,0.0009400291992538783,18.0,,,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,1000,oracle_beta_c1.0,10.0,0.011232573926448821,0.0004646162346133002,10.0,,,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,1000,oracle_beta_c1.5,15.0,0.010807540595531464,0.00042454937139660914,15.0,,,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,200,level_star,,0.02339882832765579,0.0010769949414186925,41.919,0.5,3.0,2.0,0.5,False
tail_b0.5_mu0.9_c1.0,tail,200,p3_star,,0.027792268633842467,0.0013016135775072064,76.0,0.3333333333333333,12.9269291522,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,1000,oracle_beta_c2.0,20.0,0.011166903495788574,0.0004801656971891977,20.0,,,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,1000,oracle_beta_c3.0,30.0,0.01215859454870224,0.0004991195455589823,30.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,200,ceiling,12.0,0.0181086807847023,0.0007874385189594984,12.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,200,pooled_K,48.0,0.023348286986351014,0.0009966623777643551,48.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,200,oracle_beta_c0.5,3.0,0.03453643757104874,0.0012942715277756965,3.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,200,oracle_beta_c0.75,4.0,0.027052236020565033,0.0010624237671696727,4.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,200,oracle_beta_c1.0,6.0,0.02245712101459503,0.0009288843342074286,6.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,200,oracle_beta_c1.5,9.0,0.01934942764043808,0.0008398750060848347,9.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,200,level_star,,0.02338501489162445,0.0009683573773004658,35.059,0.5,3.0,2.0,0.5,False
