level,split,env_id,family,horizon,cap,base_seed,K,n_envs,n_episodes,regret,regret_se,regret_disc,regret_sel,k_final,search_frac,k_star,is_argmin
env,val,beta_good_common,A,1000,64,5013000,6,1,2000,0.1016351066827774,0.0014478728845024188,0.09954103103280068,0.0020940756499767304,6.0,0.004008016032064127,64,False
env,val,beta_good_common,A,1000,64,5013000,8,1,2000,0.08586527648568153,0.001212359314201313,0.08351877406239509,0.002346502423286438,8.0,0.006012024048096194,64,False
env,val,beta_good_common,A,1000,64,5013000,10,1,2000,0.07547554990649223,0.0010907655693968414,0.07282487061619759,0.0026506792902946472,10.0,0.008016032064128254,64,False
env,val,beta_good_common,A,1000,64,5013000,12,1,2000,0.06800475716590881,0.0009695452664467506,0.06524768966436387,0.0027570675015449525,12.0,0.01002004008016032,64,False
env,val,beta_good_common,A,1000,64,5013000,14,1,2000,0.06179957771301269,0.0008783110816195215,0.059053899437189104,0.0027456782758235932,14.0,0.012024048096192388,64,False
env,val,beta_good_common,A,1000,64,5013000,16,1,2000,0.057898358821868896,0.000834372226267203,0.05484781986474991,0.003050538957118988,16.0,0.014028056112224454,64,False
env,val,beta_good_common,A,1000,64,5013000,18,1,2000,0.05435267665982246,0.0007888986021099182,0.05130916231870651,0.0030435143411159517,18.0,0.016032064128256508,64,False
env,val,beta_good_common,A,1000,64,5013000,20,1,2000,0.05174929964542389,0.0007576911576940786,0.04827305546402931,0.003476244181394577,20.0,0.018036072144288578,64,False
env,val,beta_good_common,A,1000,64,5013000,24,1,2000,0.04646950364112854,0.0006937019031138317,0.042997412443161014,0.003472091197967529,24.0,0.02204408817635271,64,False
env,val,beta_good_common,A,1000,64,5013000,28,1,2000,0.0432913008928299,0.000665530764131905,0.03917704463005066,0.004114256262779236,28.0,0.026052104208416835,64,False
env,val,beta_good_common,A,1000,64,5013000,32,1,2000,0.04012847658991814,0.0006263998493118007,0.0357578951716423,0.004370581418275833,32.0,0.03006012024048095,64,False
env,val,beta_good_common,A,1000,64,5013000,36,1,2000,0.038394160985946654,0.0006068166612843435,0.033564989060163496,0.004829171925783158,36.0,0.034068136272545076,64,False
env,val,beta_good_common,A,1000,64,5013000,40,1,2000,0.03643290576338768,0.0005999840510282587,0.03128401216864586,0.005148893594741822,40.0,0.038076152304609215,64,False
env,val,beta_good_common,A,1000,64,5013000,48,1,2000,0.03297907456755638,0.0005494466897630503,0.02748519477248192,0.005493879795074463,48.0,0.046092184368737486,64,False
env,val,beta_good_common,A,1000,64,5013000,56,1,2000,0.03054178300499916,0.0005342885475983963,0.02450479793548584,0.006036985069513321,56.0,0.054108216432865716,64,False
env,val,beta_good_common,A,1000,64,5013000,64,1,2000,0.029603240549564362,0.0005374219509838273,0.022590068370103834,0.007013172179460525,64.0,0.062124248496993974,64,True
env,val,beta_mostly_mediocre,A,50,64,5031000,4,1,2000,0.16819429639726877,0.002314834059557948,0.1328363322019577,0.03535796419531107,4.0,0.04166666666666666,14,False
env,val,beta_mostly_mediocre,A,50,64,5031000,6,1,2000,0.15311321118474006,0.0022832377380158724,0.10489495866000652,0.048218252524733544,6.0,0.08333333333333331,14,False
env,val,beta_mostly_mediocre,A,50,64,5031000,8,1,2000,0.14996648544073105,0.0023165499014371252,0.0873252958059311,0.06264118963479996,8.0,0.125,14,False
env,val,beta_mostly_mediocre,A,50,64,5031000,10,1,2000,0.14534176652133465,0.0022716262228320953,0.07453296108543873,0.07080880543589592,10.0,0.16666666666666663,14,False
env,val,beta_mostly_mediocre,A,50,64,5031000,12,1,2000,0.14410832914710045,0.002283334252322725,0.0641511270403862,0.07995720210671425,12.0,0.20833333333333337,14,False
env,val,beta_mostly_mediocre,A,50,64,5031000,14,1,2000,0.14387418873608113,0.002334243616924391,0.05601442983746529,0.08785975889861583,14.0,0.25,14,True
env,val,beta_mostly_mediocre,A,50,64,5031000,16,1,2000,0.14466645573079587,0.0023286788832308832,0.04868857818841934,0.09597787754237652,16.0,0.2916666666666667,14,False
env,val,beta_mostly_mediocre,A,50,64,5031000,18,1,2000,0.1452907491400838,0.0023509293480023646,0.04344357368350029,0.1018471754565835,18.0,0.33333333333333326,14,False
env,val,beta_mostly_mediocre,A,50,64,5031000,20,1,2000,0.1461941880658269,0.0023887361865807446,0.03824169194698334,0.10795249611884356,20.0,0.375,14,False
env,val,beta_mostly_mediocre,A,50,64,5031000,24,1,2000,0.14655531913787126,0.002377341196355901,0.02995212972164154,0.11660318941622973,24.0,0.4583333333333332,14,False
env,val,beta_mostly_mediocre,A,50,64,5031000,28,1,2000,0.15144345369935036,0.0024314667589711665,0.023411184221506117,0.12803226947784424,28.0,0.5416666666666667,14,False
env,val,beta_mostly_mediocre,A,50,64,5031000,32,1,2000,0.15840465531498193,0.002453088937853364,0.01778374454379082,0.14062091077119113,32.0,0.625,14,False
