test,horizon,cap,policy,reference,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method
capp,200,64,p3_star,always_search,4.077672958374024e-06,3.277882933616638e-07,9.682305902242649e-06,2.4258142597787798e-06,0.4998125,8,16000,8,-5.564491409061283e-06,1.371983732580933e-05,4.077672958374023e-06,0.3506166628202074,1.0,-1.4934889141784347e-06,4.077672958374024e-06,0.0,1.2233018875122071e-05,,,False,env_mean_t
capp,200,96,phi_k4,level_star,0.003611210868388298,0.002157166542985943,0.0050618077649596666,0.0007455795944052569,0.493,8,16000,8,-0.007717661708405261,0.014940083445181856,0.004790982148289547,0.47558256803959253,0.4609375,-0.00621206893150632,0.02081922918100454,-0.00479078696295619,0.01268082385972884,,,False,env_mean_t
capp,200,96,level_star,p3_star,-0.003034371216708678,-0.003999268930750623,-0.002074479506766147,0.0004877066331388722,0.51109375,8,16000,8,-0.00676545931049983,0.0006967168770824739,0.0015778777923291336,0.09589536430327301,0.1015625,-0.006290808945227858,0.0022251427424761997,-0.005777941432941589,-0.00010352983248594687,,,False,env_mean_t
capp,200,96,level_star,fixed_K_star,-0.0016850161015754565,-0.00258025384551729,-0.0008025577424996298,0.0004561882279447312,0.5062187499999999,8,16000,8,-0.005154112198162317,0.001784079995011404,0.0014670813319495124,0.2884710147418779,0.28125,-0.004506666302692149,0.003353179068029886,-0.004157236853963695,0.0011883736242307348,,,False,env_mean_t
capp,200,96,phi_k4,p3_star,0.0005768396516796198,-0.0009663728568062642,0.0020835613736155207,0.0007862554680059604,0.50390625,8,16000,8,-0.007960624597433852,0.00911430390079309,0.0036104950895951998,0.8775766462049163,0.90625,-0.006432920660603025,0.016431397559367428,-0.00549004469764186,0.007532562206499277,,,False,env_mean_t
capp,200,96,phi_k16,p3_star,0.0020664024946745485,0.00047534788284683615,0.0036379672200244346,0.0008051853021125326,0.498375,8,16000,8,-0.005793581975293151,0.009926386964642247,0.0033239887752454975,0.5538618157145667,0.53125,-0.0041002698340252015,0.014974937526535446,-0.0034777905059279863,0.008241013814229517,,,False,env_mean_t
capp,200,96,phi_k16,always_search,-0.005248245315626263,-0.006091339535312727,-0.00442861535702832,0.00042073342011904265,0.5289999999999999,8,16000,8,-0.010377115027838777,-0.00011937560341374921,0.0021689998775736847,0.04611509099409426,0.0625,-0.011514456901220708,-0.000782563447656778,-0.009433200858533382,-0.0015564132668077944,,,False,env_mean_t
capp,200,96,phi_k4,cp0,-0.03786024697183166,-0.03986215153705271,-0.03592792833424465,0.0010111664087966957,0.59775,8,16000,8,-0.0781771360907153,0.0024566421470519906,0.01705001929660776,0.06182798146438294,0.0078125,-0.3105785222327355,-0.0070026717144785165,-0.07179743220796808,-0.010948047177866101,,,False,env_mean_t
capp,200,96,p3_star,always_search,-0.007314647810300811,-0.008994317834565299,-0.0056804011588363216,0.0008460541891619968,0.529375,8,16000,8,-0.0148495556710571,0.00022026005045547737,0.0031865138216699168,0.05535684137503629,0.0625,-0.013668301770965254,0.004394592930967441,-0.012734987416589858,-0.0009752051818650216,,,False,env_mean_t
capp,200,128,phi_k4,level_star,-0.0016254865959781457,-0.0032395826402247616,-6.59982885135838e-05,0.0008173535949509008,0.5045000000000001,8,16000,8,-0.01096006174293417,0.007709088550977877,0.003947593424481018,0.6928267043244507,0.65625,-0.011411433216816888,0.00758567841802384,-0.008748200529444148,0.005799475821666419,,,False,env_mean_t
