test,recommender,variant,policy,oof_auc_env,oof_bal_acc_tau_off,tau_off,oof_bal_acc_05,k,feature_set,n_features,regret_pooled,regret_lo,regret_hi,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,search_frac,n_cells,regret_family_A,regret_family_B
A,oracle_prior,clock_quality_evidence_k16_weighted,phi_k16_weighted,0.7383233471629578,0.6784502984917671,0.61,0.6496282683566182,16,clock_quality_evidence,62,0.11125879545587705,0.11056949124737002,0.11194968098541722,-0.037004556647229944,-0.037839855658676244,-0.036165418924283585,0.25979824353661957,40,0.13408008051928264,0.08843751039247144
A,posterior_mean,clock_quality_evidence_k16_weighted,phi_k16_weighted,0.7383233471629578,0.6784502984917671,0.61,0.6496282683566182,16,clock_quality_evidence,62,0.11233806429039576,0.11164431860801415,0.11303458618676814,-0.03598363532486419,-0.03684610733987938,-0.03513002806306758,0.25979824353661957,40,0.13529298153884955,0.08938314704194199
A,posterior_mean_shrunk,clock_quality_evidence_k16_weighted,phi_k16_weighted,0.7383233471629578,0.6784502984917671,0.61,0.6496282683566182,16,clock_quality_evidence,62,0.11126762662905858,0.11058429287120816,0.11195199677691563,-0.03700338037806378,-0.03784744199350826,-0.03616040058834187,0.25979824353661957,40,0.13403279539760332,0.08850245786051382
A,empirical,clock_quality_evidence_k16_noambig,phi_k16_noambig,0.7701989780861724,0.7005753602272085,0.67,0.6705718993633026,16,clock_quality_evidence,62,0.11753851059046175,0.11678211819846182,0.11828287547104992,-0.031048650407143757,-0.031956931517785274,-0.030143705778864386,0.2831692926536524,40,0.1367136076538802,0.09836341352704332
A,lcb,clock_quality_evidence_k16_noambig,phi_k16_noambig,0.7701989780861724,0.7005753602272085,0.67,0.6705718993633026,16,clock_quality_evidence,62,0.11058042304125446,0.10990048003768607,0.1112649743338261,-0.037721232012692965,-0.03857609635138942,-0.036877984225360476,0.2831692926536524,40,0.13335634939144145,0.08780449669106746
A,oracle_prior,clock_quality_evidence_k16_noambig,phi_k16_noambig,0.7701989780861724,0.7005753602272085,0.67,0.6705718993633026,16,clock_quality_evidence,62,0.11055714792367835,0.10987573717349733,0.11124296865418729,-0.03770620417942864,-0.038557409871864366,-0.036864532974686885,0.2831692926536524,40,0.13333878898690238,0.08777550686045434
A,posterior_mean,clock_quality_evidence_k16_noambig,phi_k16_noambig,0.7701989780861724,0.7005753602272085,0.67,0.6705718993633026,16,clock_quality_evidence,62,0.11083019405512204,0.11014595015869418,0.11151136600652535,-0.03749150556013792,-0.03834163525789336,-0.036641890459286515,0.2831692926536524,40,0.13359998642811333,0.08806040168213077
A,posterior_mean_shrunk,clock_quality_evidence_k16_noambig,phi_k16_noambig,0.7701989780861724,0.7005753602272085,0.67,0.6705718993633026,16,clock_quality_evidence,62,0.1105724254574703,0.10988842262529942,0.11125700692471582,-0.03769858154965204,-0.03854565076064318,-0.036853717103876985,0.2831692926536524,40,0.13335265654022588,0.08779219437471474
A,empirical,clock_quality_evidence_k16_notrunc,phi_k16_notrunc,0.758030740787624,0.6926996014901499,0.66,0.659589248533319,16,clock_quality_evidence,62,0.11189982367575357,0.11119341188983527,0.11260899719141888,-0.03668733732185192,-0.037543980265400026,-0.03580409128637257,0.2511674289216682,40,0.13341827261439904,0.09038137473710812
A,lcb,clock_quality_evidence_k16_notrunc,phi_k16_notrunc,0.758030740787624,0.6926996014901499,0.66,0.659589248533319,16,clock_quality_evidence,62,0.10960689058340575,0.10892235862607776,0.11027905470895348,-0.03869476447054167,-0.03953631753298396,-0.03784894354081189,0.2511674289216682,40,0.13219461757015233,0.0870191635966592
