test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_degenerate,evaluated,ref_tuned,n_cells_excluded_untuned,params_tuned,n_boot
A,posterior_mean_shrunk,horizon,all,50,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.04001350633906713,-0.04248742406817533,-0.0375830212621082,0.0012494585815122942,0.5723437499999999,8,16000,8,-0.06959766479555816,-0.015999702539178543,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,50,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0028406284718912505,-0.004471683100684458,-0.001214074062253076,0.0008327058783183353,0.5048125,8,16000,8,-0.007808736083097756,0.0024060578407975298,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,50,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.00016779893438251747,-0.0001145741073667977,0.0004544351175461541,0.00014557209260523314,0.49978125,8,16000,8,-0.00013036122176181373,0.0005195727813988925,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,100,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.04059041918179719,-0.0428386657043382,-0.038339985243167035,0.0011445207810920283,0.590625,8,16000,8,-0.07223731975333067,-0.015182650849805215,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,100,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0040665471980173605,-0.005739797649379034,-0.00245065416399666,0.0008416618679612536,0.51271875,8,16000,8,-0.008551826122080821,-0.0003535543126468852,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,100,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.000586508248001337,2.538342721527449e-05,0.0011651367722661234,0.000289844931744327,0.499625,8,16000,8,-0.00013163909641443746,0.0014734439356252549,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,200,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.04016976586442615,-0.04203757463875263,-0.03833732815188996,0.0009568000150486028,0.6013124999999999,8,16000,8,-0.0729932070332208,-0.013776117237173098,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,200,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.00038740179874002936,-0.0011789391689002514,0.00040379318441264325,0.00040299470359635354,0.50228125,8,16000,8,-0.0027341461312025785,0.00190436760499142,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,200,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-5.1676584407687185e-05,-0.000429663191223517,0.00032449883050285274,0.00019521621017626334,0.5005625,8,16000,8,-0.0007132007330656052,0.0005982936471700668,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,500,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.039152157792821524,-0.040630251889646744,-0.03770604586116969,0.0007434392551404675,0.6261875,8,16000,8,-0.06430413239588961,-0.017129949150863116,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,500,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.00035025450959801676,0.00013075865851715213,0.0005702967144548892,0.00011187992232849302,0.4954375,8,16000,8,-0.0003718557916581631,0.0014477164074778556,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,500,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.00013225715979933738,-0.00027517306096851824,6.675515696406317e-06,7.215746967408757e-05,0.5019375,8,16000,8,-0.0005030457638204097,0.0001187281832098961,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,1000,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.030898082129191606,-0.031990398595796436,-0.029807336030050646,0.0005536317883849597,0.6309375,8,16000,8,-0.048954312123241826,-0.01421604271233082,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,1000,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-7.415935397148132e-07,-4.638180416077374e-06,2.3022184148430822e-06,1.7817430427251658e-06,0.49987499999999996,8,16000,8,-4.111357033252716e-06,1.8865764141082763e-06,False,True,True,0,True,10000
A,posterior_mean_shrunk,horizon,all,1000,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-9.419135749340057e-07,-2.4204258807003497e-06,3.6494033411145194e-07,7.104788505805749e-07,0.5000625,8,16000,8,-2.825740724802017e-06,0.0,False,True,True,0,True,10000
A,posterior_mean_shrunk,pooled,all,all,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03816478626146073,-0.039005642069769725,-0.0373103935727518,0.0004340072822027733,0.60428125,40,80000,8,-0.06528819519262724,-0.01583524927585968,False,True,True,0,True,10000
A,posterior_mean_shrunk,pooled,all,all,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0013890129105180679,-0.0018846425580583495,-0.0008981628659052512,0.000254305512971009,0.503025,40,80000,8,-0.003378890382717799,0.0005081024005441577,False,True,True,0,True,10000
A,posterior_mean_shrunk,pooled,all,all,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.0001138863049203792,-3.951877966195748e-05,0.0002646087164085201,7.72935583393016e-05,0.50039375,40,80000,8,-0.00018394253584646308,0.000429801475202257,False,True,True,0,True,10000
