test,recommender,level,family,horizon,cell,env_id,cap,base_seed,policy,group,n_cells,n_envs,n_episodes,n_cells_policy,common_support,params_tuned,regret,regret_lo,regret_hi,regret_se,q,regret_disc,regret_sel,k_final,search_frac,n_rec,n_singletons_final,herfindahl,n_eliminated_final,n_demoted,t_cap_hit_given_hit,mu_star,mu_star_cap,best_discovered,cap_hit_frac,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,d_regret_vs_cp0_se,d_regret_vs_cp0_win,d_regret_vs_cp0_cluster_lo,d_regret_vs_cp0_cluster_hi,d_regret_vs_cp0_n_cells,d_regret_vs_cp0_cluster_degenerate,d_regret_vs_cp0_ref_tuned,d_regret_vs_cp0_n_excluded_untuned,d_regret_vs_p3_star,d_regret_vs_p3_star_lo,d_regret_vs_p3_star_hi,d_regret_vs_p3_star_se,d_regret_vs_p3_star_win,d_regret_vs_p3_star_cluster_lo,d_regret_vs_p3_star_cluster_hi,d_regret_vs_p3_star_n_cells,d_regret_vs_p3_star_cluster_degenerate,d_regret_vs_p3_star_ref_tuned,d_regret_vs_p3_star_n_excluded_untuned
A,empirical,family_horizon,A,50,,,,,phi_k16_onpolicy_union,learned,4,4,8000,4,True,True,0.16015094366153426,0.15723634911701084,0.16307405079714954,0.0015093835540528064,0.534761300850234,0.02974041134119034,0.1304105323203439,27.927999999999997,0.5401666666666666,5.10375,19.727125,0.069262,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6651718331705778,0.0,-0.03282532444199206,-0.036647364805685353,-0.028956327680498363,0.0019566928774611045,0.5528125,-0.07757698473239907,-0.008561944387853146,4,False,True,0,0.001532696630514693,-0.0016426535410573695,0.004693207952368539,0.0016289793421766724,0.496375,-0.006811375647695968,0.0083146890954813,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_perstep,learned,4,4,8000,4,True,True,0.14170235445424986,0.13901785826310514,0.14440934583544732,0.001386340322282522,0.5532098900575183,0.03891431044600904,0.10278804400824082,24.633000000000003,0.4715208333333334,7.20225,17.863500000000002,0.1046265,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6559979340657591,0.0,-0.051273913649276436,-0.054848303290782496,-0.047689753968734296,0.0018342601730075316,0.585125,-0.11244101651241545,-0.01572421070188284,4,False,True,0,-0.01691589257676969,-0.01986093542946037,-0.013883315268321894,0.0015414957213984062,0.53,-0.029448007301602047,-0.007963193418283481,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_quality,learned,4,4,8000,4,True,True,0.1620597742734899,0.15914070312865078,0.16502155987545847,0.0015200114344966617,0.5328524702382783,0.033842286720871924,0.12821748755261797,26.236,0.5049166666666666,5.153375,16.57775,0.0711793,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6610699577908963,0.0,-0.030916493830036414,-0.034707691328367214,-0.027049618973978798,0.001965125595397971,0.5485625,-0.07059643841914112,-0.010732112003490328,4,False,True,0,0.003441527242470329,0.00029903658141847774,0.006643796616117469,0.0016361793878618682,0.49412500000000004,-0.007709591157734394,0.014592645642675052,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_tau05,learned,4,4,8000,4,True,True,0.16420401986041908,0.1612655706703663,0.16719881896860897,0.0015341134560303365,0.5307082246513491,0.03292927322536707,0.13127474663505198,26.606,0.5126249999999999,5.075125,17.17,0.0705718,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6619829712864012,0.0,-0.028772248243107243,-0.032610682505764994,-0.02486262799357064,0.0019762971752827164,0.5456875,-0.06648823025076309,-0.008933578508414938,4,False,True,0,0.0055857728293995015,0.0023688588065851946,0.008850126244760757,0.0016770888794265576,0.49024999999999996,-0.00597274799272418,0.017144293651523184,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_weighted,learned,4,4,8000,4,True,True,0.1762076692939627,0.1731330299284309,0.17927741915918888,0.001587949021766643,0.5187045752178056,0.026665028367191555,0.1495426409267711,29.380000000000003,0.5704166666666666,4.397875,21.125375,0.0647762,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6682472161445767,0.0,-0.016768598809563627,-0.02075220081023872,-0.012780448766716291,0.0020352478610831224,0.5221250000000001,-0.050388255666735854,0.008821507979184389,4,False,True,0,0.01758942226294312,0.01405023785773665,0.02117807761533186,0.0018110308579951217,0.46699999999999997,-0.0030264676380902526,0.03631724051493802,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k4,learned,4,4,8000,4,True,True,0.1483096048397674,0.14554862123914064,0.1511418922804296,0.0014430973010712853,0.5466026396720008,0.03434526132233441,0.11396434351743301,25.5855,0.4913645833333334,5.706124999999999,16.3865,0.07645010000000001,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6605669831894339,0.0,-0.0446666632637589,-0.048345645918743685,-0.040921463066479195,0.001894846149732714,0.572875,-0.10166768289853828,-0.012677019014954567,4,False,True,0,-0.010308642191252146,-0.013104224375820196,-0.007473594818657149,0.0014549225382994259,0.518375,-0.019071704381494782,-0.0015455800010095119,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_reservoir_rule,learned,4,4,8000,4,True,True,0.19117462792119114,0.1879964390769601,0.19433898506686093,0.0016161629556200765,0.503737616590577,0.023299131909385325,0.1678754960118058,33.784,0.6621666666666666,2.530875,25.394750000000002,0.044880800000000005,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6716131126023829,0.0,-0.001801640182335175,-0.005884727404918521,0.002256941143423317,0.0020808922717767556,0.4776875,-0.07832020135871608,0.06987589644640685,4,False,True,0,0.032556380890171564,0.029016086338015157,0.03609883326425915,0.0018052031596664708,0.41843749999999996,-0.008075783219464939,0.07318854499980808,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_sf_k16,learned,4,4,8000,4,True,True,0.1710080093008546,0.16793264453299345,0.1740453735459596,0.0015713586835666758,0.5239042352109136,0.030205004036426543,0.14080300526442807,27.802,0.5375416666666666,4.6701250000000005,18.608125,0.0673239,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6647072404753417,0.0,-0.021968258802671697,-0.025879651268405725,-0.017999277292983607,0.0020149194735005456,0.5326875,-0.05817226007463068,0.0030109679922716167,4,False,True,0,0.012389762269835045,0.008921593002742157,0.01584699527011253,0.0017626087317670577,0.47693750000000007,-0.00491306429542601,0.0283824860921377,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_sf_k16_noT1000,learned,4,4,8000,4,True,True,0.17326005493051708,0.17025909638032316,0.17636172748170792,0.0015640296639515307,0.5216521895812511,0.03328095244430006,0.13997910248621703,26.462,0.5096249999999999,4.854875,16.581625000000003,0.0704052,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6616312920674682,0.0,-0.019716213173009235,-0.023570820424356497,-0.01576359359205526,0.00200134839160055,0.5320625000000001,-0.04420658229651053,-0.005175934899987624,4,False,True,0,0.014641807899497507,0.01127667855744221,0.01807346096538822,0.001750160913725668,0.47568750000000004,-0.006453473769128322,0.03878642691430287,4,False,True,0
A,empirical,family_horizon,A,50,,,,,power_a0.25,baseline,4,4,8000,4,True,True,0.15861824703101957,0.1557405604980886,0.16152353482320905,0.0014968372569070932,0.5362939974807487,0.054684982635080814,0.10393326439593875,21.0,0.39583333333333326,5.256625,6.307874999999999,0.0714926,0.0,,,0.6949122445117683,0.6949122445117683,0.6402272618766873,0.0,-0.034358021072506746,-0.03798172390597756,-0.030667873400670943,0.0018394065050077813,0.5569375,-0.0829930092108134,-0.0033126485534012316,4,False,True,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,False,True,0
