level,split,env_id,horizon,cap,base_seed,theta,alpha,c,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,100,64,5004000,0.6,0.75,3.0,1,2000,0.1405074232518673,0.0019912541388135492,2.733,0.0074795918367346935,False
env,val,beta_good_common,100,64,5004000,0.625,0.5,6.0,1,2000,0.13094033682346343,0.0018963162908013293,3.1325,0.011556122448979592,False
env,val,beta_good_common,100,64,5004000,0.625,0.5,8.0,1,2000,0.13094033682346343,0.0018963162908013293,3.1325,0.011556122448979592,False
env,val,beta_good_common,100,64,5004000,0.625,0.75,1.5,1,2000,0.13094033682346343,0.0018963162908013293,3.1325,0.011556122448979592,False
env,val,beta_good_common,100,64,5004000,0.625,0.75,1.0,1,2000,0.13094033682346343,0.0018963162908013293,3.1325,0.011556122448979592,False
env,val,beta_good_common,100,64,5004000,0.625,0.75,2.0,1,2000,0.13094033682346343,0.0018963162908013293,3.1325,0.011556122448979592,False
env,val,beta_good_common,100,64,5004000,0.625,0.75,3.0,1,2000,0.13094033682346343,0.0018963162908013293,3.1325,0.011556122448979592,False
env,val,beta_good_common,100,64,5004000,0.65,0.5,3.0,1,2000,0.12560169002413749,0.0018329536460322906,3.3225,0.013494897959183674,False
env,val,beta_good_common,100,64,5004000,0.65,0.5,4.0,1,2000,0.12560169002413749,0.0018329536460322906,3.3225,0.013494897959183674,False
env,val,beta_good_common,100,64,5004000,0.65,0.5,6.0,1,2000,0.12560169002413749,0.0018329536460322906,3.3225,0.013494897959183674,False
env,val,beta_good_common,100,64,5004000,0.65,0.75,1.0,1,2000,0.12560169002413749,0.0018329536460322906,3.3225,0.013494897959183674,False
env,val,beta_good_common,100,64,5004000,0.65,0.75,1.5,1,2000,0.12560169002413749,0.0018329536460322906,3.3225,0.013494897959183674,False
env,val,beta_good_common,100,64,5004000,0.675,0.5,3.0,1,2000,0.07311346065998077,0.0014955983748234601,30.0,0.2857142857142856,False
env,val,beta_good_common,100,64,5004000,0.65,0.5,8.0,1,2000,0.12560169002413749,0.0018329536460322906,3.3225,0.013494897959183674,False
env,val,beta_good_common,100,64,5004000,0.65,0.75,2.0,1,2000,0.12560169002413749,0.0018329536460322906,3.3225,0.013494897959183674,False
env,val,beta_good_common,100,64,5004000,0.65,0.75,3.0,1,2000,0.12560169002413749,0.0018329536460322906,3.3225,0.013494897959183674,False
env,val,beta_good_common,100,64,5004000,0.675,0.5,4.0,1,2000,0.07925091549754143,0.0016375547327185857,40.0,0.38775510204081615,False
env,val,beta_good_common,100,64,5004000,0.675,0.5,6.0,1,2000,0.09790436732769013,0.0018154729623605368,60.0,0.5918367346938778,False
env,val,beta_good_common,100,64,5004000,0.675,0.5,8.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.675,0.75,1.0,1,2000,0.07413223218917847,0.001500858992201495,32.0,0.3061224489795918,False
env,val,beta_good_common,100,64,5004000,0.7,0.5,3.0,1,2000,0.07311346065998077,0.0014955983748234601,30.0,0.2857142857142856,False
env,val,beta_good_common,100,64,5004000,0.675,0.75,1.5,1,2000,0.08704018464684486,0.0017089900370268953,48.0,0.4693877551020407,False
env,val,beta_good_common,100,64,5004000,0.7,0.75,1.0,1,2000,0.07413223218917847,0.001500858992201495,32.0,0.3061224489795918,False
env,val,beta_good_common,100,64,5004000,0.7,0.5,4.0,1,2000,0.07925091549754143,0.0016375547327185857,40.0,0.38775510204081615,False
env,val,beta_good_common,100,64,5004000,0.675,0.75,2.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.7,0.5,6.0,1,2000,0.09790436732769013,0.0018154729623605368,60.0,0.5918367346938778,False
env,val,beta_good_common,100,64,5004000,0.7,0.5,8.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.675,0.75,3.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.7,0.75,1.5,1,2000,0.08704018464684486,0.0017089900370268953,48.0,0.4693877551020407,False
env,val,beta_good_common,100,64,5004000,0.7,0.75,2.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.7,0.75,3.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,200,64,5007000,0.55,0.5,3.0,1,2000,0.14636017832159995,0.0019533185381384014,2.5535,0.002795454545454546,False
env,val,beta_good_common,200,64,5007000,0.55,0.5,4.0,1,2000,0.14636017832159995,0.0019533185381384014,2.5535,0.002795454545454546,False
env,val,beta_good_common,200,64,5007000,0.55,0.5,6.0,1,2000,0.14636017832159995,0.0019533185381384014,2.5535,0.002795454545454546,False
env,val,beta_good_common,200,64,5007000,0.55,0.5,8.0,1,2000,0.14636017832159995,0.0019533185381384014,2.5535,0.002795454545454546,False
env,val,beta_good_common,200,64,5007000,0.55,0.75,1.0,1,2000,0.14636017832159995,0.0019533185381384014,2.5535,0.002795454545454546,False
env,val,beta_good_common,200,64,5007000,0.55,0.75,1.5,1,2000,0.14636017832159995,0.0019533185381384014,2.5535,0.002795454545454546,False
