test,level,cell,rec_a,rec_b,n_policies,kendall_tau
A,cell,beta_rare_excellent_T200_cap64,lcb,oracle_prior,36,1.0
A,cell,beta_rare_excellent_T200_cap64,lcb,posterior_mean,36,1.0
A,cell,beta_rare_excellent_T200_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,beta_rare_excellent_T200_cap64,oracle_prior,posterior_mean,36,1.0
A,cell,beta_rare_excellent_T200_cap64,oracle_prior,posterior_mean_shrunk,36,1.0
A,cell,beta_rare_excellent_T200_cap64,posterior_mean,posterior_mean_shrunk,36,1.0
A,cell,beta_rare_excellent_T500_cap64,empirical,lcb,36,1.0
A,cell,beta_rare_excellent_T500_cap64,empirical,oracle_prior,36,1.0
A,cell,beta_rare_excellent_T500_cap64,empirical,posterior_mean,36,1.0
A,cell,beta_rare_excellent_T500_cap64,empirical,posterior_mean_shrunk,36,1.0
A,cell,beta_rare_excellent_T500_cap64,lcb,oracle_prior,36,1.0
A,cell,beta_rare_excellent_T500_cap64,lcb,posterior_mean,36,1.0
A,cell,beta_rare_excellent_T500_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,beta_rare_excellent_T500_cap64,oracle_prior,posterior_mean,36,1.0
A,cell,beta_rare_excellent_T500_cap64,oracle_prior,posterior_mean_shrunk,36,1.0
A,cell,beta_rare_excellent_T500_cap64,posterior_mean,posterior_mean_shrunk,36,1.0
A,cell,beta_rare_excellent_T50_cap64,empirical,lcb,36,0.7786628214276602
A,cell,beta_rare_excellent_T50_cap64,empirical,oracle_prior,36,0.7786628214276602
A,cell,beta_rare_excellent_T50_cap64,empirical,posterior_mean,36,0.9127304766889967
A,cell,beta_rare_excellent_T50_cap64,empirical,posterior_mean_shrunk,36,0.7786628214276602
A,cell,beta_rare_excellent_T50_cap64,lcb,oracle_prior,36,1.0
A,cell,beta_rare_excellent_T50_cap64,lcb,posterior_mean,36,0.8409800147982999
A,cell,beta_rare_excellent_T50_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,beta_rare_excellent_T50_cap64,oracle_prior,posterior_mean,36,0.8409800147982999
A,cell,beta_rare_excellent_T50_cap64,oracle_prior,posterior_mean_shrunk,36,1.0
A,cell,beta_rare_excellent_T50_cap64,posterior_mean,posterior_mean_shrunk,36,0.8409800147982998
A,cell,beta_skewed_T1000_cap64,empirical,lcb,36,1.0
A,cell,beta_skewed_T1000_cap64,empirical,oracle_prior,36,1.0
A,cell,beta_skewed_T1000_cap64,empirical,posterior_mean,36,1.0
A,cell,beta_skewed_T1000_cap64,empirical,posterior_mean_shrunk,36,1.0
A,cell,beta_skewed_T1000_cap64,lcb,oracle_prior,36,1.0
A,cell,beta_skewed_T1000_cap64,lcb,posterior_mean,36,1.0
A,cell,beta_skewed_T1000_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,beta_skewed_T1000_cap64,oracle_prior,posterior_mean,36,1.0
A,cell,beta_skewed_T1000_cap64,oracle_prior,posterior_mean_shrunk,36,1.0
A,cell,beta_skewed_T1000_cap64,posterior_mean,posterior_mean_shrunk,36,1.0
A,cell,beta_skewed_T100_cap64,empirical,lcb,36,0.7993630573248407
A,cell,beta_skewed_T100_cap64,empirical,oracle_prior,36,0.7993630573248407
A,cell,beta_skewed_T100_cap64,empirical,posterior_mean,36,0.8089171974522292
A,cell,beta_skewed_T100_cap64,empirical,posterior_mean_shrunk,36,0.7898089171974523
A,cell,beta_skewed_T100_cap64,lcb,oracle_prior,36,1.0
A,cell,beta_skewed_T100_cap64,lcb,posterior_mean,36,0.9904458598726115
A,cell,beta_skewed_T100_cap64,lcb,posterior_mean_shrunk,36,0.9840764331210191
A,cell,beta_skewed_T100_cap64,oracle_prior,posterior_mean,36,0.9904458598726115
A,cell,beta_skewed_T100_cap64,oracle_prior,posterior_mean_shrunk,36,0.9840764331210191
A,cell,beta_skewed_T100_cap64,posterior_mean,posterior_mean_shrunk,36,0.9808917197452229
A,cell,beta_skewed_T200_cap64,empirical,lcb,36,0.9233716475095783
A,cell,beta_skewed_T200_cap64,empirical,oracle_prior,36,0.9233716475095783
A,cell,beta_skewed_T200_cap64,empirical,posterior_mean,36,0.9118773946360152
A,cell,beta_skewed_T200_cap64,empirical,posterior_mean_shrunk,36,0.9233716475095783
A,cell,beta_skewed_T200_cap64,lcb,oracle_prior,36,0.9999999999999999
A,cell,beta_skewed_T200_cap64,lcb,posterior_mean,36,0.9885057471264367
A,cell,beta_skewed_T200_cap64,lcb,posterior_mean_shrunk,36,0.9999999999999999
A,cell,beta_skewed_T200_cap64,oracle_prior,posterior_mean,36,0.9885057471264367
A,cell,beta_skewed_T200_cap64,oracle_prior,posterior_mean_shrunk,36,0.9999999999999999
A,cell,beta_skewed_T200_cap64,posterior_mean,posterior_mean_shrunk,36,0.9885057471264367
A,cell,beta_skewed_T500_cap64,empirical,lcb,36,1.0
A,cell,beta_skewed_T500_cap64,empirical,oracle_prior,36,1.0
A,cell,beta_skewed_T500_cap64,empirical,posterior_mean,36,1.0
A,cell,beta_skewed_T500_cap64,empirical,posterior_mean_shrunk,36,1.0
A,cell,beta_skewed_T500_cap64,lcb,oracle_prior,36,1.0
A,cell,beta_skewed_T500_cap64,lcb,posterior_mean,36,1.0
A,cell,beta_skewed_T500_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,beta_skewed_T500_cap64,oracle_prior,posterior_mean,36,1.0
A,cell,beta_skewed_T500_cap64,oracle_prior,posterior_mean_shrunk,36,1.0
A,cell,beta_skewed_T500_cap64,posterior_mean,posterior_mean_shrunk,36,1.0
A,cell,beta_skewed_T50_cap64,empirical,lcb,36,0.40191438677208036
A,cell,beta_skewed_T50_cap64,empirical,oracle_prior,36,0.408293980212907
A,cell,beta_skewed_T50_cap64,empirical,posterior_mean,36,0.5454552391906805
A,cell,beta_skewed_T50_cap64,empirical,posterior_mean_shrunk,36,0.408293980212907
A,cell,beta_skewed_T50_cap64,lcb,oracle_prior,36,0.9936102236421726
A,cell,beta_skewed_T50_cap64,lcb,posterior_mean,36,0.8434504792332268
A,cell,beta_skewed_T50_cap64,lcb,posterior_mean_shrunk,36,0.9936102236421726
A,cell,beta_skewed_T50_cap64,oracle_prior,posterior_mean,36,0.8498402555910542
A,cell,beta_skewed_T50_cap64,oracle_prior,posterior_mean_shrunk,36,1.0
A,cell,beta_skewed_T50_cap64,posterior_mean,posterior_mean_shrunk,36,0.8498402555910542
A,cell,tail_b0.5_mu1.0_c1.0_T1000_cap64,empirical,lcb,36,-0.058268890388526444
A,cell,tail_b0.5_mu1.0_c1.0_T1000_cap64,empirical,oracle_prior,36,-0.058268890388526444
A,cell,tail_b0.5_mu1.0_c1.0_T1000_cap64,empirical,posterior_mean,36,-0.058268890388526444
A,cell,tail_b0.5_mu1.0_c1.0_T1000_cap64,empirical,posterior_mean_shrunk,36,-0.058268890388526444
A,cell,tail_b0.5_mu1.0_c1.0_T1000_cap64,lcb,oracle_prior,36,0.9999999999999999
A,cell,tail_b0.5_mu1.0_c1.0_T1000_cap64,lcb,posterior_mean,36,0.9999999999999999
A,cell,tail_b0.5_mu1.0_c1.0_T1000_cap64,lcb,posterior_mean_shrunk,36,0.9999999999999999
A,cell,tail_b0.5_mu1.0_c1.0_T1000_cap64,oracle_prior,posterior_mean,36,0.9999999999999999
A,cell,tail_b0.5_mu1.0_c1.0_T1000_cap64,oracle_prior,posterior_mean_shrunk,36,0.9999999999999999
A,cell,tail_b0.5_mu1.0_c1.0_T1000_cap64,posterior_mean,posterior_mean_shrunk,36,0.9999999999999999
A,cell,tail_b0.5_mu1.0_c1.0_T100_cap64,empirical,lcb,36,0.5888126271966042
A,cell,tail_b0.5_mu1.0_c1.0_T100_cap64,empirical,oracle_prior,36,0.595300920609239
A,cell,tail_b0.5_mu1.0_c1.0_T100_cap64,empirical,posterior_mean,36,0.595300920609239
A,cell,tail_b0.5_mu1.0_c1.0_T100_cap64,empirical,posterior_mean_shrunk,36,0.5888126271966042
