level,split,env_id,family,horizon,cap,base_seed,K,n_envs,n_episodes,regret,regret_se,regret_disc,regret_sel,k_final,search_frac,k_star,is_argmin
env,val,beta_mostly_mediocre,A,1000,32,5042000,10,1,500,0.17664870697259902,0.0033907461823441884,0.16979624557495118,0.006852461397647858,10.0,0.008016032064128254,32,False
env,val,beta_mostly_mediocre,A,1000,32,5042000,12,1,500,0.16626829171180726,0.0033446230887055135,0.1586199620962143,0.0076483296155929565,12.0,0.010020040080160319,32,False
env,val,beta_mostly_mediocre,A,1000,32,5042000,14,1,500,0.15866538667678834,0.0033115968841969682,0.14932301568984985,0.009342370986938476,14.0,0.012024048096192388,32,False
env,val,beta_mostly_mediocre,A,1000,32,5042000,16,1,500,0.15243602055311203,0.0032473054688621768,0.14218804478645325,0.010247975766658783,16.0,0.014028056112224454,32,False
env,val,beta_mostly_mediocre,A,1000,32,5042000,18,1,500,0.14556256210803986,0.003077043011758597,0.13603203642368317,0.00953052568435669,18.0,0.016032064128256508,32,False
env,val,beta_mostly_mediocre,A,1000,32,5042000,20,1,500,0.14168887627124788,0.00313485142539365,0.12994057238101958,0.011748303890228271,20.0,0.018036072144288574,32,False
env,val,beta_mostly_mediocre,A,1000,32,5042000,24,1,500,0.1332266643047333,0.003030741628852308,0.12055926752090454,0.012667396783828735,24.0,0.02204408817635271,32,False
env,val,beta_mostly_mediocre,A,1000,32,5042000,28,1,500,0.12891115033626557,0.002997188994181717,0.11465359365940093,0.014257556676864624,28.0,0.026052104208416835,32,False
env,val,beta_mostly_mediocre,A,1000,32,5042000,32,1,500,0.1262756884098053,0.0030136924242866433,0.1092347401380539,0.017040948271751403,32.0,0.030060120240480957,32,True
env,val,beta_rare_excellent,A,200,32,5051000,4,1,500,0.2784406763147563,0.005387897360753872,0.2708245484381914,0.00761612787656486,4.0,0.0101010101010101,28,False
env,val,beta_rare_excellent,A,200,32,5051000,6,1,500,0.24942017424106597,0.005390714007347195,0.23840968053042888,0.011010493710637092,6.0,0.0202020202020202,28,False
env,val,beta_rare_excellent,A,200,32,5051000,8,1,500,0.23220603751763702,0.005593089977387966,0.21620383548736571,0.016002202030271293,8.0,0.030303030303030293,28,False
env,val,beta_rare_excellent,A,200,32,5051000,10,1,500,0.22035789348185061,0.005512249975634988,0.2022307688444853,0.018127124637365342,10.0,0.0404040404040404,28,False
env,val,beta_rare_excellent,A,200,32,5051000,12,1,500,0.20619102285057306,0.0055257968322664115,0.18629828560352327,0.01989273724704981,12.0,0.050505050505050504,28,False
env,val,beta_rare_excellent,A,200,32,5051000,14,1,500,0.1975847231298685,0.005540001236441685,0.1732391704916954,0.024345552638173104,14.0,0.06060606060606059,28,False
env,val,beta_rare_excellent,A,200,32,5051000,16,1,500,0.1978354305624962,0.005426889931292836,0.1665245680809021,0.031310862481594086,16.0,0.07070707070707072,28,False
env,val,beta_rare_excellent,A,200,32,5051000,18,1,500,0.1936173205897212,0.005489253674583933,0.15702447459101676,0.03659284599870443,18.0,0.0808080808080808,28,False
env,val,beta_rare_excellent,A,200,32,5051000,20,1,500,0.18275838524475693,0.005416066974650026,0.14484494200348855,0.0379134432412684,20.0,0.09090909090909091,28,False
env,val,beta_rare_excellent,A,200,32,5051000,24,1,500,0.18142444831877946,0.005440513594362698,0.13479825022816658,0.046626198090612886,24.0,0.11111111111111115,28,False
env,val,beta_rare_excellent,A,200,32,5051000,28,1,500,0.17408182927966118,0.005324403285796431,0.12465566793084144,0.04942616134881973,28.0,0.1313131313131313,28,True
env,val,beta_rare_excellent,A,200,32,5051000,32,1,500,0.17696968169510366,0.005426020099708276,0.11853719440102577,0.05843248729407787,32.0,0.15151515151515152,28,False
