test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,evaluated,ref_tuned,n_cells_excluded_untuned,params_tuned,n_boot
robust,posterior_mean_shrunk,family_horizon,B,200,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0007533474365870158,-0.0015759834181517359,0.00010083720156302026,0.0004315286466040869,0.5039166666666667,24,12000,24,-0.002434258144603337,0.0009275632714293052,0.0008125611022095717,0.36348802657376356,,-0.002449274575459946,0.0008487672883547642,-0.0023099441314737,0.0007911382017036279,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,200,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.00015843284254272777,-0.0006360250253230333,0.00032341843368485567,0.000244761656270044,0.5017083333333333,24,12000,24,-0.0006366598153634711,0.0003197941302780156,0.00023117744106714152,0.49998529158088356,,-0.0007249195936612553,0.00025348164124080585,-0.0006087760633789002,0.0002722393833411237,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,500,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.031760136552775896,-0.03321258616137008,-0.030341043423100688,0.0007329089548279534,0.6137083333333333,24,12000,24,-0.043740938211100575,-0.019779334894451214,0.005791582714308013,1.4161561411452693e-05,,-0.04436155928099055,-0.020255528750929792,-0.042843485347088414,-0.020805253144276017,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,500,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.00021633694072564443,-0.000402562637378772,-3.024951405823242e-05,9.52103994616255e-05,0.5020416666666666,24,12000,24,-0.000764825768529245,0.00033215188707795616,0.0002651423923616306,0.4229117460386078,,-0.0007290494246312706,0.00029914160393123624,-0.0007318064918120702,0.0003033217693368593,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,500,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-1.4398242036501564e-05,-0.00014729711537559822,0.00011830005484322705,6.749678167474455e-05,0.501,24,12000,24,-0.00017168899091896236,0.00014289250684595923,7.603517763898993e-05,0.851469547683859,,-0.00014184196719085898,0.00018072702651103574,-0.0001469699910531441,0.00013711492108801999,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,1000,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.023513109418253103,-0.024559192417220523,-0.022490955612839505,0.0005258857516653676,0.6122916666666667,24,12000,24,-0.03262693702644539,-0.014399281810060819,0.004405672336634816,2.0297955289915124e-05,,-0.033076490481811785,-0.014548376202634798,-0.032163946941774345,-0.015078852914739404,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,1000,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-1.3927618662516216e-08,-5.3669710954030355e-06,4.803880800803502e-06,2.57084708705035e-06,0.4999583333333333,24,12000,24,-4.481771126053618e-06,4.453915888728585e-06,2.1597791170893908e-06,0.9949103801918763,,-5.8698517569558515e-06,3.0972057929539467e-06,-4.753500223159789e-06,3.4267803033192956e-06,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,B,1000,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,1.1346091826756794e-06,-4.43456942836443e-07,2.904348944624264e-06,8.563018294122325e-07,0.4997916666666667,24,12000,24,-5.633415793925158e-07,2.8325599447438747e-06,8.207983542159211e-07,0.180149768733556,,-6.694835421581829e-08,2.638780207804279e-06,0.0,3.003269433975219e-06,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family,A,all,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.04356281395339368,-0.04563734592303231,-0.0415514736845532,0.0010372948231806812,0.6197,30,15000,6,-0.08301734246683647,-0.004108285439950898,0.015348481797575732,0.036321037285076616,0.03125,-0.11344865050302982,-0.019475916448098003,-0.07376113573410548,-0.021574010769526163,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family,A,all,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0014386419966196022,-0.00263560663150313,-0.0002754639625828718,0.000597207337905962,0.49956666666666666,30,15000,6,-0.0053187021886949275,0.0024414181954557235,0.001509409324490487,0.384301692509504,0.40625,-0.006231453672180198,0.002019802964446871,-0.00417401409794887,0.0011054355990762514,,,False,env_mean_t,True,True,0,True,10000
