test,cell,policy,env_id,family,horizon,cap,n_states,n_decisions,search_rate,mean_oracle_I_t,mean_oracle_p_t,mean_est_I_hat,mean_est_p,auc_oracle_I_for_decision,auc_oracle_p_for_decision,auc_est_I_hat_for_decision,auc_est_p_for_decision,auc_model_p_for_decision,corr_decision_oracle_I,corr_decision_oracle_p,corr_model_p_oracle_I,spearman_model_p_oracle_I,n_inclinations,inclination_rate,auc_oracle_I_for_inclination,spearman_est_I_hat_oracle_I,spearman_est_p_oracle_p,offline_label_auc_oracle_p_new_beats_best_true,offline_label_auc_oracle_I_t,offline_label_auc_est_p_new_beats_incumbent,offline_label_auc_est_I_hat
A,beta_mostly_mediocre_T100_cap64,phi_k16_quality,beta_mostly_mediocre,A,100,64,3072,2944,0.23811141304347827,0.003397443002425092,0.0599761228637819,0.004813100031688806,0.053008292018823955,0.6676831963509235,0.6676831963509235,0.8661424383865353,0.8623722686462177,0.6780327193239644,0.31397915075214816,0.3473208060132357,0.4247301664113526,0.2385421293166168,3072,0.123046875,0.7144668929190087,0.27754176676375075,0.2725939402640113,0.8477575630565284,0.8946424089234634,0.585643393994592,0.6227817527505852
A,beta_mostly_mediocre_T100_cap64,rule_reservoir,beta_mostly_mediocre,A,100,64,3072,2944,0.6137907608695652,0.0024031840247463894,0.04165989528669004,0.010779707193600782,0.12285652126719544,0.6276965032398681,0.6276965032398681,0.99545401227222,0.9942727368744338,,0.1725420439395347,0.21916963426402739,,,0,,,0.24455289928411272,0.22470773174198796,0.8477575630565284,0.8946424089234634,0.585643393994592,0.6227817527505852
A,beta_mostly_mediocre_T200_cap64,phi_k16,beta_mostly_mediocre,A,200,64,3072,2944,0.1949728260869565,0.0014020155850652607,0.0299522213412223,0.0018532734365405209,0.02590148784885157,0.6432232170422971,0.6432232170422971,0.7038636263396991,0.7049611138064364,0.7587740190240962,0.2635028890263531,0.27428501391546817,0.29627988675070044,0.22057538851384015,3072,0.14485677083333334,0.662204933213004,0.22275045929716872,0.2163309740629294,0.8679564499695281,0.9172309342311168,0.6072406266359196,0.6448817341085273
A,beta_mostly_mediocre_T200_cap64,phi_k16_all71,beta_mostly_mediocre,A,200,64,3072,2944,0.21671195652173914,0.0013843330819594713,0.029426734166697093,0.0018153750163834657,0.02506241538331413,0.6374498038373386,0.6374498038373386,0.6983846147571959,0.6993586310211606,0.7628681618348754,0.2478942473093635,0.26040322021991297,0.26414342172907374,0.2245982011891892,3072,0.18033854166666666,0.6576214432977866,0.2596556909859441,0.254248627002154,0.8679564499695281,0.9172309342311168,0.6072406266359196,0.6448817341085273
A,beta_mostly_mediocre_T200_cap64,phi_k16_clock,beta_mostly_mediocre,A,200,64,3072,2944,0.21739130434782608,0.0010339648603030888,0.022803430084820064,0.004039119702609985,0.05055282982914771,0.6962768554687501,0.6962768554687501,0.973440212673611,0.9729397243923611,1.0,0.3276309386871112,0.37417298090746,0.4779644671885494,0.2122326806366591,3072,0.20833333333333334,0.6962768554687501,0.1944537932266697,0.19008523176130782,0.8679564499695281,0.9172309342311168,0.6072406266359196,0.6448817341085273
A,beta_mostly_mediocre_T200_cap64,phi_k16_cs,beta_mostly_mediocre,A,200,64,3072,2944,0.19361413043478262,0.0014130751295209389,0.030176861862753045,0.0018552988855970994,0.025947199370386958,0.6402403966951921,0.6402403966951921,0.7043549269129015,0.7055602358887954,0.7546150549076989,0.26269002196965796,0.2723264006348946,0.296020576422542,0.22379406772038077,3072,0.14453125,0.6619260527650939,0.2289630944117535,0.2223646373081291,0.8679564499695281,0.9172309342311168,0.6072406266359196,0.6448817341085273
A,beta_mostly_mediocre_T200_cap64,phi_k16_quality,beta_mostly_mediocre,A,200,64,3072,2944,0.17730978260869565,0.0014690857287634656,0.03128348588274558,0.0018813825952875881,0.026596178044359698,0.6359714273058902,0.6359714273058902,0.7393465392269458,0.7404617949764452,0.7806078381123229,0.2709764770003176,0.2761342901765372,0.31260237921136863,0.2508729445171486,3072,0.14420572916666666,0.6627368636161859,0.23177852459225004,0.22450494435921206,0.8679564499695281,0.9172309342311168,0.6072406266359196,0.6448817341085273
A,beta_mostly_mediocre_T200_cap64,rule_reservoir,beta_mostly_mediocre,A,200,64,3072,2944,0.30197010869565216,0.0008991546246369855,0.019728320663912505,0.004737609544272932,0.059444406721537925,0.6965849159366027,0.6965849159366027,0.9979090204965255,0.9973988652878244,,0.2893286165438804,0.34728770966172956,,,0,,,0.25393240155937064,0.2458586840061207,0.8679564499695281,0.9172309342311168,0.6072406266359196,0.6448817341085273
A,beta_mostly_mediocre_T500_cap64,phi_k16,beta_mostly_mediocre,A,500,64,3072,2944,0.10054347826086957,0.000728669465187411,0.01839568254095387,0.0005677791597200839,0.011246939055767772,0.6372651210500533,0.6372651210500533,0.7444858945047768,0.7544194496611416,0.6703044623173022,0.19499858965802755,0.20481413584959457,0.07882131592860868,0.0805192636700305,3072,0.4430338541666667,0.5454141010043927,0.20608796997613377,0.20176897119373285,0.8301234312942936,0.8974563052832495,0.5739398030451561,0.6126022615352111
A,beta_mostly_mediocre_T500_cap64,phi_k16_all71,beta_mostly_mediocre,A,500,64,3072,2944,0.11277173913043478,0.0007424930607146226,0.018632940357642767,0.00047444151321046553,0.010298353286732016,0.6136448550711269,0.6136448550711269,0.7212413974427573,0.7323047934463736,0.697706599752763,0.14392154889158754,0.15671031154317397,0.10608352753738885,0.09780719859504887,3072,0.431640625,0.545777981648206,0.19924156314032695,0.19428667612777065,0.8301234312942936,0.8974563052832495,0.5739398030451561,0.6126022615352111
